"district","school","county","grades","students","teachers","calworks","lunch","computer","expenditure","income","english","read","math"
"75119","Sunol Glen Unified","Alameda","KK-08",195,10.9,0.5102,2.0408,67,6384.9111,22.69,0,691.6,690
"61499","Manzanita Elementary","Butte","KK-08",240,11.15,15.4167,47.9167,101,5099.3809,9.824,4.5833,660.5,661.9
"61549","Thermalito Union Elementary","Butte","KK-08",1550,82.9,55.0323,76.3226,169,5501.9546,8.978,30,636.3,650.9
"61457","Golden Feather Union Elementary","Butte","KK-08",243,14,36.4754,77.0492,85,7101.8311,8.978,0,651.9,643.5
"61523","Palermo Union Elementary","Butte","KK-08",1335,71.5,33.1086,78.427,171,5235.9878,9.0803,13.8577,641.8,639.9
"62042","Burrel Union Elementary","Fresno","KK-08",137,6.4,12.3188,86.9565,25,5580.147,10.415,12.4088,605.7,605.4
"68536","Holt Union Elementary","San Joaquin","KK-08",195,10,12.9032,94.6237,28,5253.3311,6.577,68.7179,604.5,609
"63834","Vineland Elementary","Kern","KK-08",888,42.5,18.8063,100,66,4565.7461,8.174,46.9595,605.5,612.5
"62331","Orange Center Elementary","Fresno","KK-08",379,19,32.19,93.1398,35,5355.5483,7.385,30.0792,608.9,616.1
"67306","Del Paso Heights Elementary","Sacramento","KK-06",2247,108,78.9942,87.3164,0,5036.2114,11.6133,40.2759,611.9,613.4
"65722","Le Grand Union Elementary","Merced","KK-08",446,21,18.6099,85.8744,86,4547.6924,8.931,52.9148,612.8,618.7
"62174","West Fresno Elementary","Fresno","KK-08",987,47,71.7131,98.6056,56,5447.3452,7.385,54.6099,616.6,616
"71795","Allensworth Elementary","Tulare","KK-08",103,5,22.4299,98.1308,25,6567.1494,5.335,42.7184,612.8,619.8
"72181","Sunnyside Union Elementary","Tulare","KK-08",487,24.34,24.6094,77.1484,0,4818.6128,8.279,20.5339,610,622.6
"72298","Woodville Elementary","Tulare","KK-08",649,36,14.6379,76.2712,31,5621.4561,9.63,80.1233,611.9,621
"72041","Pixley Union Elementary","Tulare","KK-08",852,42.07,24.2142,94.2957,80,6026.3599,7.454,49.4131,614.8,619.9
"63594","Lost Hills Union Elementary","Kern","KK-08",491,28.92,11.2016,97.7597,100,6723.2378,6.216,85.5397,611.7,624.4
"63370","Buttonwillow Union Elementary","Kern","KK-08",421,25.5,8.5511,77.9097,50,5589.8853,7.764,58.9074,614.9,621.7
"64709","Lennox Elementary","Los Angeles","KK-08",6880,303.03,21.2824,94.9712,960,5064.6157,7.022,77.0058,619.1,620.5
"63560","Lamont Elementary","Kern","KK-08",2688,135,23.4375,93.2292,139,5433.5933,5.699,49.814,621.3,619.3
"63230","Westmorland Union Elementary","Imperial","KK-08",440,24,34.7727,100,69,5725.5635,7.941,40.6818,615.6,625.4
"72058","Pleasant View Elementary","Tulare","KK-08",475,21,21.6495,91.5464,53,4542.105,9.63,16.2105,619.9,622.9
"63842","Wasco Union Elementary","Kern","KK-08",2538,130.5,18.9111,70.8167,169,5107.0864,7.405,45.0749,622.9,620.6
"71811","Alta Vista Elementary","Tulare","KK-08",476,19,43.8559,100,0,4659.6616,9.63,39.0756,620.7,623.4
"65748","Livingston Union Elementary","Merced","KK-08",2357,114,16.801,90.6237,216,4555.4644,8.019,76.6653,619.5,625.7
"72272","Woodlake Union Elementary","Tulare","KK-08",1588,85,22.4072,85.1472,198,5415.1528,8.523,40.4912,625,621.2
"65961","Alisal Union Elementary","Monterey","KK-06",7306,319.8,17.0015,88.0349,742,4997.8716,7.9832,73.7202,620.4,626
"63313","Arvin Union Elementary","Kern","KK-08",2601,135,15.0711,92.1953,269,5223.9121,7.305,70.0115,616.5,630.4
"72199","Terra Bella Union Elementary","Tulare","KK-08",847,44,16.2928,90.2007,67,5139.1646,8.934,55.9622,620.1,627.1
"72215","Tipton Elementary","Tulare","KK-08",452,22,14.4989,81.0235,55,4614.252,8.554,11.0619,627.9,620.4
"68379","San Ysidro Elementary","San Diego","KK-08",4142,201,35.5625,81.5065,569,5342.2334,6.613,80.4201,620.4,628.7
"75440","Soledad Unified","Monterey","KK-08",2102,99.75,15.3199,90.2849,224,5347.4585,12.409,63.1304,623,626.9
"64816","Mountain View Elementary","Los Angeles","KK-08",10012,464.9,29.7639,91.5934,721,5036.459,8.1266,65.1219,620.8,629.8
"66050","King City Union Elementary","Monterey","KK-08",2488,125,12.692,55.093,202,5117.1416,11.431,53.4164,626.1,625.6
"67819","Ontario-Montclair Elementary","San Bernardino","KK-08",25151,1186.7,17.4426,80.1956,1713,5117.0396,11.7222,49.8231,625.4,626.8
"64758","Los Nietos Elementary","Los Angeles","KK-08",2267,103.68,19.1517,84.4338,177,5272.1919,11.3325,35.4654,625.4,628.2
"65870","Winton Elementary","Merced","KK-08",1657,90.4,28.8473,84.7314,204,5225.7192,9.598,56.1255,623.6,630.2
"62380","Raisin City Elementary","Fresno","KK-08",284,17.5,14.527,94.9324,18,6516.5332,14.558,32.3944,628.9,625.3
"68999","Ravenswood City Elementary","San Mateo","KK-08",5370,280,19.5717,81.1173,562,4559.1768,22.06,65.5121,624.4,630.1
"63578","Richland-Lerdo Union Elementary","Kern","KK-08",2471,121.86,23.796,87.7782,275,5119.1582,9.709,53.0554,627.5,627.1
"72538","Oxnard Elementary","Ventura","KK-08",15386,669.36,12.5064,71.4331,1762,5338.1855,11.4829,49.6425,627.8,628.7
"65680","El Nido Elementary","Merced","KK-08",184,9,22.2826,85.8696,40,5090.0449,8.178,45.1087,621.6,635.2
"63461","Fairfax Elementary","Kern","KK-08",1217,61.4,33.908,88.0952,78,5485.4961,8.174,30.3205,629.4,627.7
"63404","Delano Union Elementary","Kern","KK-08",6219,268,21.4986,100,571,4793.3701,7.5,52.2431,621.1,636.2
"67199","Perris Elementary","Riverside","KK-06",4258,221,24.6595,92.7431,324,5092.9175,10.0505,36.8013,626.5,631
"65078","Valle Lindo Elementary","Los Angeles","KK-08",1235,53,8.2183,62.1302,175,4359.521,7.332,30.2834,630.2,629.4
"69369","Alum Rock Union Elementary","Santa Clara","KK-08",16244,766.65,17.4531,69.7399,1423,5645.4956,12.5816,49.8646,629.5,631.2
"63438","Edison Elementary","Kern","KK-08",814,39,19.7789,67.4447,85,4518.0161,15.177,13.7592,631.9,628.9
"63321","Bakersfield City Elementary","Kern","KK-08",27176,1429,39.2184,84.295,3324,5864.3662,12.1091,28.8637,631.6,629.5
"69450","Franklin-McKinley Elementary","Santa Clara","KK-08",10696,487.97,22.1578,70.8957,1306,5257.9966,11.785,52.8048,628.5,632.6
"64592","Hawthorne Elementary","Los Angeles","KK-08",8935,444.5,36.9451,79.512,786,5016.6924,14.062,44.0851,628.4,633.7
"65193","Chowchilla Elementary","Madera","KK-08",1600,74.5,27.2614,79.7255,242,4720.0864,10.472,35.25,635.7,627.1
"66142","Salinas City Elementary","Monterey","KK-06",9028,449.92,13.9885,69.9425,669,5470.5625,13.4051,37.4945,633,630.7
"69120","Santa Maria-Bonita Elementary","Santa Barbara","KK-08",10625,521.47,7.4975,77.5256,896,5615.4419,12.3018,50.3906,629.6,634.2
"65110","Whittier City Elementary","Los Angeles","KK-08",7151,318.58,18.5481,61.7382,560,5245.4399,15.4041,31.0726,634.2,629.7
"64477","Eastside Union Elementary","Los Angeles","KK-08",2404,105,20.9274,52.9435,202,4838.1753,13.762,18.2612,633.5,630.5
"64691","Lawndale Elementary","Los Angeles","KK-08",5804,283.15,28.3425,81.1165,480,5367.9883,14.184,34.7002,631.4,633
"67421","Robla Elementary","Sacramento","KK-06",2253,112.65,43.4976,84.5539,196,5526.2368,8.865,33.2889,637.5,627
