"zbior","x","y"
"zbior_1",10,8.04
"zbior_1",8,6.95
"zbior_1",13,7.58
"zbior_1",9,8.81
"zbior_1",11,8.33
"zbior_1",14,9.96
"zbior_1",6,7.24
"zbior_1",4,4.26
"zbior_1",12,10.84
"zbior_1",7,4.82
"zbior_1",5,5.68
"zbior_2",10,9.14
"zbior_2",8,8.14
"zbior_2",13,8.74
"zbior_2",9,8.77
"zbior_2",11,9.26
"zbior_2",14,8.1
"zbior_2",6,6.13
"zbior_2",4,3.1
"zbior_2",12,9.13
"zbior_2",7,7.26
"zbior_2",5,4.74
"zbior_3",10,7.46
"zbior_3",8,6.77
"zbior_3",13,12.74
"zbior_3",9,7.11
"zbior_3",11,7.81
"zbior_3",14,8.84
"zbior_3",6,6.08
"zbior_3",4,5.39
"zbior_3",12,8.15
"zbior_3",7,6.42
"zbior_3",5,5.73
"zbior_4",8,6.58
"zbior_4",8,5.76
"zbior_4",8,7.71
"zbior_4",8,8.84
"zbior_4",8,8.47
"zbior_4",8,7.04
"zbior_4",8,5.25
"zbior_4",19,12.5
"zbior_4",8,5.56
"zbior_4",8,7.91
"zbior_4",8,6.89
