"opoznienie_min","pora_dnia","dzien_tygodnia","pogoda","nr_linii","dlugosc_trasy_km"
3.9,"1_rano","2_wt","slonecznie",182,19.9
5.5,"1_rano","5_pt","snieg",182,16.1
5,"1_rano","6_sob","deszcz",501,6.6
5.8,"1_rano","3_sr","slonecznie",501,18.6
3.1,"1_rano","5_pt","slonecznie",501,11.6
1.5,"1_rano","1_pon","slonecznie",501,16
4.5,"1_rano","3_sr","deszcz",501,7.5
1.8,"1_rano","4_czw","slonecznie",175,9.8
1,"1_rano","7_nd","slonecznie",144,21.6
5.2,"1_rano","5_pt","deszcz",144,6.8
4.7,"1_rano","1_pon","snieg",501,19.9
0.6,"1_rano","4_czw","snieg",182,6.5
0.7,"1_rano","2_wt","slonecznie",501,16
4.3,"1_rano","5_pt","slonecznie",144,12.3
5.2,"1_rano","2_wt","slonecznie",182,7.6
1.4,"1_rano","5_pt","slonecznie",182,10.2
2.9,"1_rano","1_pon","deszcz",144,12.4
3.3,"1_rano","1_pon","slonecznie",175,24.2
0,"1_rano","4_czw","deszcz",182,12.4
12.5,"1_rano","1_pon","snieg",182,22.5
1.3,"1_rano","4_czw","slonecznie",182,20.7
4.2,"1_rano","2_wt","slonecznie",182,13
10.6,"1_rano","2_wt","slonecznie",182,5.7
4.4,"1_rano","4_czw","deszcz",144,13.8
1.7,"1_rano","5_pt","slonecznie",501,16.6
0,"1_rano","4_czw","slonecznie",175,11.7
0,"1_rano","7_nd","slonecznie",144,17.9
4.1,"1_rano","5_pt","deszcz",182,21.5
0.9,"1_rano","1_pon","slonecznie",144,6.3
5.4,"1_rano","2_wt","deszcz",501,23.5
0,"1_rano","1_pon","slonecznie",182,16.3
7.5,"1_rano","6_sob","slonecznie",144,14.9
0,"1_rano","4_czw","slonecznie",182,21.1
5.3,"1_rano","7_nd","deszcz",501,6.4
3,"1_rano","3_sr","snieg",182,11.3
0,"1_rano","6_sob","slonecznie",144,16.7
2.9,"1_rano","2_wt","slonecznie",175,15.3
0,"1_rano","2_wt","slonecznie",144,12.2
4.7,"1_rano","3_sr","slonecznie",501,19.8
4.9,"1_rano","2_wt","slonecznie",501,17.1
7,"1_rano","1_pon","deszcz",175,6.6
6.4,"1_rano","3_sr","slonecznie",175,10.7
0.2,"1_rano","4_czw","slonecznie",501,14.3
0.9,"1_rano","1_pon","slonecznie",175,21.8
0,"1_rano","3_sr","slonecznie",175,7.5
5.4,"1_rano","1_pon","slonecznie",175,14.8
3.5,"1_rano","2_wt","snieg",175,6.6
2.4,"1_rano","4_czw","slonecznie",182,18.3
4.6,"1_rano","4_czw","slonecznie",144,24.2
3.5,"1_rano","5_pt","slonecznie",182,21.2
3.1,"1_rano","2_wt","slonecznie",501,13.6
0,"1_rano","5_pt","slonecznie",175,24.2
1.5,"1_rano","3_sr","slonecznie",182,17.6
5.3,"1_rano","5_pt","slonecznie",144,15.1
4.2,"1_rano","5_pt","deszcz",182,12.2
6.1,"1_rano","6_sob","deszcz",144,11.8
6.4,"1_rano","5_pt","snieg",182,24
4.5,"1_rano","4_czw","snieg",144,17
0,"1_rano","2_wt","slonecznie",175,23.2
1.9,"1_rano","2_wt","slonecznie",144,5.8
3.8,"1_rano","5_pt","slonecznie",501,6.5
3.9,"1_rano","6_sob","slonecznie",144,8.9
3.4,"1_rano","3_sr","slonecznie",501,11.4
6.1,"1_rano","3_sr","slonecznie",501,10.6
0,"1_rano","4_czw","slonecznie",501,22
0,"1_rano","5_pt","deszcz",182,15.2
0,"1_rano","6_sob","slonecznie",144,23.1
0.8,"1_rano","1_pon","slonecznie",175,8.3
7.2,"1_rano","3_sr","slonecznie",175,6.8
1.2,"1_rano","2_wt","deszcz",175,17.8
1.7,"1_rano","6_sob","slonecznie",501,22.2
1.6,"1_rano","5_pt","deszcz",175,5.9
0,"1_rano","3_sr","deszcz",175,5.5
0,"1_rano","1_pon","slonecznie",175,12.3
0.4,"1_rano","4_czw","slonecznie",175,21.2
5,"1_rano","5_pt","slonecznie",175,22.7
0.4,"1_rano","4_czw","slonecznie",144,7.3
7.4,"1_rano","2_wt","deszcz",175,7.5
0,"1_rano","5_pt","slonecznie",175,11.6
0.5,"1_rano","3_sr","deszcz",175,19.3
0,"1_rano","5_pt","slonecznie",501,8.8
7.5,"1_rano","2_wt","deszcz",144,6.5
2.6,"1_rano","5_pt","slonecznie",182,8.3
0,"1_rano","3_sr","deszcz",501,22.4
2,"1_rano","2_wt","slonecznie",501,11.8
1.5,"1_rano","4_czw","deszcz",182,17.1
6.4,"1_rano","5_pt","deszcz",175,16.5
0,"1_rano","5_pt","deszcz",501,23.8
0,"1_rano","4_czw","slonecznie",501,19
5,"1_rano","2_wt","slonecznie",182,8.3
3.9,"1_rano","4_czw","deszcz",182,22.1
0,"1_rano","4_czw","slonecznie",182,12.4
7.1,"1_rano","4_czw","slonecznie",501,6.7
2.8,"1_rano","3_sr","deszcz",182,18.2
1.9,"1_rano","1_pon","deszcz",144,9.7
0,"1_rano","1_pon","slonecznie",144,13.5
0,"1_rano","1_pon","slonecznie",182,18.4
0,"1_rano","3_sr","slonecznie",182,11.5
2.5,"1_rano","3_sr","snieg",501,13.7
2.7,"1_rano","2_wt","slonecznie",175,23.2
4.1,"1_rano","6_sob","slonecznie",501,5.9
3.1,"1_rano","6_sob","deszcz",501,18.4
5.1,"1_rano","5_pt","slonecznie",175,7.9
4.1,"1_rano","2_wt","deszcz",501,19.3
0.1,"1_rano","5_pt","deszcz",501,19.7
2.4,"1_rano","3_sr","deszcz",175,8.2
0,"1_rano","6_sob","slonecznie",144,16.4
9.1,"1_rano","5_pt","deszcz",144,22.2
3.6,"1_rano","4_czw","deszcz",144,10.4
5.7,"1_rano","4_czw","slonecznie",175,20.4
0,"1_rano","3_sr","deszcz",182,19.9
2.1,"1_rano","1_pon","deszcz",501,22.9
1.8,"1_rano","5_pt","deszcz",144,6.6
0,"1_rano","4_czw","slonecznie",144,21.6
3.3,"1_rano","2_wt","deszcz",501,22.8
5.5,"1_rano","2_wt","slonecznie",144,19.5
0,"1_rano","3_sr","deszcz",182,24.9
3.4,"1_rano","2_wt","deszcz",144,13.7
1.3,"1_rano","3_sr","slonecznie",182,6.1
1.9,"1_rano","1_pon","deszcz",182,15.6
0.1,"1_rano","1_pon","slonecznie",144,8.8
2.3,"1_rano","1_pon","snieg",175,24.7
2,"1_rano","2_wt","deszcz",175,17.3
0,"1_rano","5_pt","slonecznie",501,24.4
2.8,"1_rano","4_czw","slonecznie",175,8.6
3.1,"1_rano","5_pt","deszcz",144,8.4
0,"1_rano","4_czw","slonecznie",182,24.2
3.4,"1_rano","5_pt","deszcz",182,24.9
0,"1_rano","6_sob","snieg",144,23
2.3,"1_rano","1_pon","deszcz",182,14.5
5.6,"1_rano","4_czw","deszcz",175,6
3.5,"1_rano","2_wt","deszcz",182,11.3
0,"1_rano","2_wt","slonecznie",501,9.8
0,"1_rano","1_pon","slonecznie",144,12.5
0,"1_rano","6_sob","slonecznie",501,16.5
9.5,"1_rano","4_czw","snieg",175,18.4
0,"1_rano","1_pon","deszcz",182,16.9
1.7,"1_rano","2_wt","slonecznie",501,21
0,"1_rano","2_wt","deszcz",501,24.9
4.8,"1_rano","1_pon","slonecznie",501,12.5
0,"1_rano","5_pt","slonecznie",144,6.8
0,"1_rano","7_nd","slonecznie",501,22.2
4.8,"1_rano","1_pon","slonecznie",182,22.1
3.9,"1_rano","7_nd","slonecznie",144,22
2.2,"1_rano","2_wt","deszcz",144,6.5
0.2,"1_rano","2_wt","slonecznie",501,5.5
0,"1_rano","2_wt","slonecznie",501,20.3
5.1,"1_rano","3_sr","slonecznie",144,9.5
4.7,"1_rano","1_pon","deszcz",144,13.5
2.2,"1_rano","5_pt","slonecznie",175,12.2
0.5,"1_rano","6_sob","slonecznie",144,18.4
1.6,"1_rano","4_czw","slonecznie",501,7.5
1,"1_rano","5_pt","slonecznie",501,5.8
0,"1_rano","2_wt","deszcz",144,9.3
3.4,"1_rano","2_wt","deszcz",182,23.6
5.2,"1_rano","4_czw","slonecznie",501,6.5
6.2,"1_rano","2_wt","deszcz",175,7.5
9.2,"1_rano","4_czw","snieg",144,24.8
3.8,"1_rano","5_pt","slonecznie",182,9.8
6.8,"1_rano","5_pt","deszcz",144,7.5
2.8,"1_rano","5_pt","slonecznie",144,14.6
10.3,"1_rano","3_sr","snieg",144,9.2
2.9,"1_rano","4_czw","deszcz",144,15.9
1.7,"1_rano","3_sr","slonecznie",144,9.1
0.6,"1_rano","4_czw","deszcz",175,14.3
0,"1_rano","2_wt","slonecznie",144,10.3
2.5,"1_rano","3_sr","slonecznie",175,7.5
1.3,"1_rano","5_pt","slonecznie",182,8.9
0,"1_rano","4_czw","slonecznie",182,16.6
4.6,"1_rano","4_czw","slonecznie",182,22.5
5.2,"1_rano","2_wt","slonecznie",144,12.8
6.4,"1_rano","2_wt","deszcz",144,24.7
2.6,"1_rano","2_wt","slonecznie",501,16.1
5,"1_rano","7_nd","slonecznie",501,11.7
9.3,"1_rano","1_pon","deszcz",144,9.9
5.6,"1_rano","4_czw","slonecznie",175,15.6
0,"1_rano","2_wt","slonecznie",144,21.7
4.7,"1_rano","2_wt","slonecznie",501,22.2
0,"1_rano","4_czw","slonecznie",182,19.7
0.1,"1_rano","1_pon","deszcz",501,7.8
5,"1_rano","6_sob","deszcz",182,17.6
8.2,"1_rano","6_sob","snieg",182,15
6.3,"1_rano","7_nd","slonecznie",501,13.7
3.9,"1_rano","2_wt","slonecznie",144,12.8
0,"1_rano","5_pt","deszcz",501,23.5
2.3,"1_rano","1_pon","snieg",501,13.3
3.9,"1_rano","4_czw","slonecznie",182,12.8
3.5,"1_rano","5_pt","deszcz",182,16.1
5,"1_rano","1_pon","deszcz",501,12.2
1.2,"1_rano","2_wt","slonecznie",175,6.5
3.3,"1_rano","3_sr","slonecznie",501,22.5
4,"1_rano","6_sob","deszcz",501,22.2
5,"1_rano","3_sr","slonecznie",182,6.5
2.8,"1_rano","6_sob","slonecznie",501,21.2
2.9,"1_rano","6_sob","slonecznie",144,12.5
3.4,"1_rano","1_pon","slonecznie",501,18.8
6.3,"1_rano","6_sob","deszcz",501,6.3
6.1,"1_rano","5_pt","slonecznie",182,14
2.8,"1_rano","2_wt","slonecznie",182,17.8
2.3,"1_rano","2_wt","deszcz",144,19
4.6,"2_popoludnie","1_pon","deszcz",175,21.2
0,"2_popoludnie","5_pt","slonecznie",182,15.7
