"title","year","length","budget","rating","votes","mpaa","genre","n_genres"
"10 Things I Hate About You",1999,97,16000000,6.7,19095,"PG-13","Romance",2
"100 Mile Rule",2002,98,1100000,5.6,181,"R","Comedy",1
"101",1989,117,200000,7.8,299,,"Documentary",1
"11:14",2003,95,6000000,7.1,605,,"Comedy",2
"13 Going On 30",2004,98,37000000,6.4,7859,"PG-13","Romance",3
"13th Warrior, The",1999,102,85000000,6.1,14344,"R","Action",1
"1492: Conquest of Paradise",1992,154,47000000,6,3379,,"Drama",1
"15 Minutes",2001,120,42000000,6.1,10866,"R","Drama",1
"1776",1972,180,4000000,7.3,1754,"PG","Drama",1
"1941",1979,146,35000000,5.6,5536,,"Comedy",1
"2 Fast 2 Furious",2003,107,76000000,5.1,9556,"PG-13","Action",1
"200 Motels",1971,98,679000,5.2,338,,"Comedy",1
"2001: A Space Travesty",2000,99,26000000,2.5,2023,"R","Comedy",1
"21 Grams",2003,124,20000000,8,21857,"R","Drama",1
"24 Hour Woman, The",1999,93,2500000,5.6,149,"R","Comedy",1
"28 Days",2000,103,43000000,6,7465,"PG-13","Drama",1
"28 Days Later...",2002,113,8000000,7.3,24174,"R","Other",0
"3 Strikes",2000,82,6000000,3.7,305,,"Comedy",1
"3000 Miles to Graceland",2001,125,62000000,5.4,7298,"R","Action",2
"40 Days and 40 Nights",2002,96,17000000,5.4,8609,"R","Romance",3
"50 First Dates",2004,99,75000000,6.8,13497,"PG-13","Romance",2
"51st State, The",2001,92,28000000,6.1,6752,"R","Action",2
"54",1998,100,13000000,5.4,6905,"R","Drama",1
"72 metra",2004,100,1600000,6,147,,"Action",2
"8 Mile",2002,110,41000000,6.8,17900,"R","Drama",1
"8MM",1999,123,40000000,5.9,18541,"R","Other",0
"About Schmidt",2002,125,30000000,7.3,23279,"R","Comedy",2
"About a Boy",2002,101,27000000,7.5,18318,"PG-13","Comedy",2
"Absolon",2003,96,8000000,4.1,548,"R","Action",1
"Absolute Power",1997,121,50000000,6.4,7995,"R","Drama",1
"Abyss, The",1989,171,69500000,7.4,21987,"PG-13","Action",2
"Ace Ventura: When Nature Calls",1995,90,30000000,4.9,15161,"PG-13","Comedy",1
"Adaptation.",2002,114,19000000,7.9,25140,"R","Comedy",2
"Adventures of Baron Munchausen, The",1988,125,46630000,6.8,7927,,"Comedy",1
"Adventures of Elmo in Grouchland, The",1999,89,17000000,5.5,420,,"Comedy",1
"Adventures of Pinocchio, The",1996,92,25000000,5.6,577,,"Other",0
"Adventures of Pluto Nash, The",2002,95,100000000,3.9,2543,"PG-13","Action",2
"Affliction",1997,114,6000000,6.9,3679,"R","Drama",1
"After Hours",1985,96,4500000,7.4,5630,,"Comedy",1
"After Midnight",1989,90,3000000,5.1,160,,"Other",0
"Age of Innocence, The",1993,139,34000000,7.1,6049,,"Romance",2
"Agent Cody Banks",2003,102,26000000,5.5,2655,"PG","Action",2
"Agent Cody Banks 2: Destination London",2004,100,26000000,3.8,919,"PG","Action",2
"Air Force One",1997,124,85000000,6.3,26156,"R","Action",2
"Airplane!",1980,88,3500000,7.8,23369,,"Comedy",1
"Airport",1970,137,10000000,6.4,2918,,"Drama",1
"Akumulator 1",1994,102,2000000,7.1,272,,"Comedy",1
"Aladdin",1992,90,28000000,7.6,22499,,"Animation",2
"Alamo, The",2004,137,95000000,5.9,3060,"PG-13","Action",2
"Albino Alligator",1996,97,5000000,6,2077,"R","Drama",1
"Alexander",2004,175,150000000,5.5,11254,"R","Drama",1
"Alfie",2004,103,60000000,6,3492,"R","Comedy",2
"Ali",2001,165,107000000,6.4,9294,"R","Drama",1
"Alias",2002,98,1500000,5.7,266,,"Romance",2
"Alice",1990,102,12000000,6.4,1706,,"Romance",3
"Alien",1979,116,11000000,8.3,63400,"R","Other",0
"Alien Dead",1980,69,12000,2.4,112,,"Other",0
"Alien Nation",1988,91,16000000,6,2171,,"Drama",1
"Alien: Resurrection",1997,116,70000000,6,24358,"R","Action",1
"Aliens",1986,154,18500000,8.3,63961,"R","Action",1
"Alive",1993,127,32000000,6.7,5786,,"Action",2
"All About the Benjamins",2002,95,14000000,5.4,1250,"R","Action",2
"All the President's Men",1976,138,8500000,8,12724,,"Drama",1
"All the Pretty Horses",2000,116,45000000,5.6,3133,"PG-13","Drama",1
"All the Queen's Men",2001,105,25000000,5,353,"PG-13","Action",3
"All the Real Girls",2003,108,1000000,6.8,1745,"R","Romance",2
"Alligator",1980,89,1000000,5.5,1032,,"Comedy",1
"Alligator II: The Mutation",1991,92,3000000,2.7,282,,"Other",0
"Almost Famous",2000,162,60000000,8,38648,"R","Comedy",2
"Alone in the Dark",2005,96,20000000,2.1,2880,"R","Action",1
"Along Came Polly",2004,90,42000000,5.8,9785,"PG-13","Romance",2
"Along Came a Spider",2001,104,28000000,6.1,9456,"R","Drama",1
"Amadeus",1984,180,18000000,8.3,36955,"R","Drama",1
"Ame agaru",1999,91,3800000,7.8,448,,"Drama",1
"America 3000",1986,84,2000000,3.7,123,,"Action",1
"America's Sweethearts",2001,102,48000000,5.8,11849,"PG-13","Romance",2
"American Beauty",1999,121,15000000,8.5,109991,"R","Drama",1
"American Desi",2001,100,250000,6.8,291,,"Romance",3
"American Graffiti",1973,110,777000,7.6,12758,,"Comedy",2
"American History X",1998,119,10000000,8.4,59677,"R","Drama",1
"American Outlaws",2001,94,35000000,5.5,2878,"PG-13","Action",2
"American Pie 2",2001,105,30000000,6.3,22752,"R","Comedy",1
"American Werewolf in London, An",1981,92,10000000,7.2,8347,,"Romance",2
"American Werewolf in Paris, An",1997,105,22000000,5,4302,"R","Romance",2
"Amistad",1997,152,40000000,7,10543,"R","Drama",1
"Anaconda",1997,89,45000000,4.1,10510,,"Action",1
"Analyze This",1999,109,30000000,6.6,24521,"R","Comedy",1
"Anastasia",1997,94,53000000,6.5,4896,,"Animation",1
"And Now for Something Completely Different",1971,85,100000,7.4,3539,,"Comedy",1
"Angel Eyes",2001,102,38000000,5.6,4829,"R","Romance",2
"Angel Heart",1987,113,17000000,7.1,8335,,"Other",0
"Anger Management",2003,106,75000000,6,14280,"PG-13","Comedy",1
"Animal House",1978,109,3000000,7.5,17609,,"Comedy",1
"Animal, The",2001,84,22000000,4.8,5605,"R","Comedy",1
"Annie",1982,126,50000000,5.7,3475,,"Other",0
"Annie Hall",1977,93,4000000,8.3,21462,,"Romance",2
"Another Woman",1988,84,10000000,7.2,1380,,"Drama",1
"Another You",1991,94,26000000,4.4,398,,"Comedy",1
"Antikiller",2002,114,5000000,5.4,231,,"Action",1
"Antitrust",2001,108,30000000,6,7326,"PG-13","Drama",1
"Any Given Sunday",1999,156,62000000,6.4,19531,"R","Drama",1
"Anything Else",2003,108,18000000,6.5,3678,"R","Romance",2
"Apartment Zero",1988,124,4000000,6.2,933,,"Other",0
"Apollo 13",1995,140,62000000,7.5,41098,"PG","Drama",1
"Apostle, The",1997,134,5000000,7.2,4231,"PG-13","Drama",1
"Apt Pupil",1998,112,14000000,6.4,6728,"R","Drama",1
"Are We There Yet?",2005,95,32000000,3.5,1043,"PG","Comedy",1
"Aristocats, The",1970,78,4000000,6.6,2972,,"Animation",2
"Arlington Road",1999,117,21500000,7.1,17189,"R","Drama",1
"Around the World in 80 Days",2004,120,110000000,5.7,3887,"PG","Action",3
"Arthur",1981,97,7000000,6.6,4595,,"Romance",2
"Artificial Intelligence: AI",2001,146,90000000,6.8,36623,"PG-13","Drama",1
"Assassination of Trotsky, The",1972,103,2500000,5,148,,"Drama",1
"Assault of the Killer Bimbos",1988,85,250000,4,149,,"Comedy",1
"Assault on Precinct 13",2005,109,20000000,6.3,2960,"R","Action",2
"Asterix in Amerika",1994,85,12500000,5.4,394,,"Animation",2
"Astronaut's Wife, The",1999,109,34000000,4.8,7253,"R","Other",0
"At First Sight",1999,128,40000000,5.7,3441,"PG-13","Drama",1
"Attic Expeditions, The",2001,100,1000000,5.4,384,"R","Other",0
"Auch Zwerge haben klein angefangen",1970,96,200000,7.2,330,,"Drama",1
"Austin Powers in Goldmember",2002,94,63000000,6.2,22870,"PG-13","Action",2
"Austin Powers: The Spy Who Shagged Me",1999,95,33000000,6.5,37019,"PG-13","Action",2
"Auto Focus",2002,105,7000000,6.7,3276,"R","Drama",1
"Avalon",2001,106,8000000,6.8,2723,"R","Animation",2
"Avanti!",1972,140,2750000,7.2,1043,,"Romance",3
"Avengers, The",1998,89,60000000,3.4,11499,"PG-13","Action",1
"Aviator, The",2004,170,116000000,7.5,16217,"PG-13","Drama",1
"Awfully Big Adventure, An",1995,112,4000000,5.8,608,"R","Drama",1
"Babe",1995,89,30000000,7.4,16988,,"Comedy",2
"Babe: Pig in the City",1998,97,80000000,6.5,3827,,"Comedy",1
"Baby Boy",2001,130,16000000,6.2,1476,"R","Romance",2
"Baby Geniuses",1999,97,13000000,2.4,3142,"PG","Comedy",1
"Baby's Day Out",1994,99,50000000,4.4,1856,,"Comedy",1
"Bacheha-Ye aseman",1997,89,180000,7.6,1499,,"Comedy",2
"Bachelor, The",1999,101,21000000,5,4183,"PG-13","Romance",2
"Back to the Future",1985,111,19000000,8.1,68647,,"Action",2
"Back to the Future Part II",1989,108,40000000,7,28547,,"Comedy",1
"Bad Boys",1995,118,23000000,6.4,15326,"R","Action",2
"Bad Company",2002,116,70000000,5.4,6175,"PG-13","Action",2
"Bad Taste",1987,86,150000,6.9,7048,,"Comedy",1
"Badkonake sefid",1995,85,150000,7.4,618,,"Drama",1
"Badlands",1973,94,500000,7.7,4763,,"Drama",1
