"gospodarstwo","wielkosc","przed","po","po_pol_roku"
"G001","srednie","tak","tak","tak"
"G002","male","nie","nie","nie"
"G003","male","tak","nie","tak"
"G004","duze","tak","tak","tak"
"G005","male","nie","nie","tak"
"G006","male","nie","nie","nie"
"G007","male","nie","nie","tak"
"G008","srednie","nie","tak","nie"
"G009","srednie","nie","tak","tak"
"G010","srednie","nie","nie","tak"
"G011","male","nie","nie","nie"
"G012","male","nie","tak","nie"
"G013","duze","nie","nie","nie"
"G014","duze","nie","tak","nie"
"G015","male","nie","nie","nie"
"G016","male","tak","tak","tak"
"G017","srednie","tak","tak","nie"
"G018","male","tak","tak","nie"
"G019","srednie","nie","tak","nie"
"G020","duze","tak","tak","nie"
"G021","duze","nie","nie","tak"
"G022","srednie","nie","nie","nie"
"G023","male","tak","nie","nie"
"G024","duze","tak","tak","tak"
"G025","duze","nie","nie","tak"
"G026","duze","tak","tak","tak"
"G027","duze","tak","tak","tak"
"G028","srednie","nie","tak","nie"
"G029","duze","tak","tak","nie"
"G030","duze","tak","tak","tak"
"G031","male","nie","nie","nie"
"G032","srednie","nie","tak","tak"
"G033","male","nie","tak","tak"
"G034","srednie","nie","tak","tak"
"G035","srednie","nie","tak","nie"
"G036","duze","tak","tak","tak"
"G037","srednie","tak","tak","tak"
"G038","male","nie","nie","tak"
"G039","duze","tak","tak","tak"
"G040","srednie","nie","tak","nie"
"G041","male","nie","nie","nie"
"G042","duze","tak","tak","nie"
"G043","srednie","nie","tak","nie"
"G044","srednie","nie","tak","nie"
"G045","male","nie","tak","nie"
"G046","duze","tak","tak","tak"
"G047","duze","nie","tak","tak"
"G048","srednie","nie","tak","nie"
"G049","duze","tak","tak","tak"
"G050","duze","tak","tak","tak"
"G051","srednie","nie","tak","nie"
"G052","male","tak","tak","tak"
"G053","srednie","nie","nie","nie"
"G054","srednie","tak","tak","tak"
"G055","male","nie","tak","tak"
"G056","srednie","nie","tak","tak"
"G057","male","nie","nie","tak"
"G058","male","nie","nie","nie"
"G059","male","nie","nie","tak"
"G060","male","nie","nie","nie"
"G061","duze","nie","tak","nie"
"G062","male","nie","tak","nie"
"G063","male","nie","nie","tak"
"G064","male","nie","tak","nie"
"G065","male","nie","nie","nie"
"G066","srednie","nie","tak","tak"
"G067","male","nie","nie","nie"
"G068","duze","tak","tak","tak"
"G069","male","nie","nie","tak"
"G070","srednie","tak","tak","tak"
"G071","duze","tak","tak","nie"
"G072","srednie","nie","tak","tak"
"G073","duze","tak","tak","tak"
"G074","male","nie","tak","nie"
"G075","duze","nie","nie","tak"
"G076","male","nie","nie","nie"
"G077","duze","tak","tak","tak"
"G078","srednie","nie","tak","nie"
"G079","male","nie","nie","tak"
"G080","duze","tak","tak","tak"
"G081","male","nie","nie","tak"
"G082","duze","tak","tak","tak"
"G083","male","nie","nie","tak"
"G084","male","nie","nie","nie"
"G085","srednie","nie","tak","tak"
"G086","srednie","nie","tak","tak"
"G087","srednie","tak","tak","tak"
"G088","male","nie","nie","nie"
"G089","srednie","tak","tak","tak"
"G090","duze","tak","tak","tak"
"G091","male","nie","tak","nie"
"G092","duze","nie","tak","tak"
"G093","male","nie","tak","nie"
"G094","duze","nie","tak","tak"
"G095","male","nie","nie","nie"
"G096","male","tak","tak","tak"
"G097","male","nie","tak","tak"
"G098","male","nie","nie","nie"
"G099","srednie","nie","tak","nie"
"G100","male","nie","tak","tak"
"G101","duze","tak","tak","tak"
"G102","srednie","nie","nie","tak"
"G103","male","nie","tak","tak"
"G104","male","nie","nie","nie"
"G105","srednie","nie","tak","nie"
"G106","male","nie","tak","tak"
"G107","srednie","nie","nie","nie"
"G108","duze","tak","tak","tak"
"G109","male","nie","nie","nie"
"G110","male","nie","nie","nie"
"G111","male","nie","tak","tak"
"G112","male","tak","nie","nie"
"G113","srednie","nie","tak","tak"
"G114","duze","nie","tak","tak"
"G115","male","nie","nie","nie"
"G116","srednie","tak","nie","tak"
"G117","srednie","tak","tak","tak"
"G118","duze","tak","tak","nie"
"G119","duze","tak","tak","tak"
"G120","male","nie","tak","tak"
