"x_m","y_m"
100.1891,199.4941
100.5201,200.2701
100.7687,200.3492
100.7344,200.9948
98.8196,199.4067
98.0768,198.6182
100.696,200.2259
99.5125,199.1808
100.006,199.8298
101.3814,200.8221
102.0226,201.211
100.6015,200.5663
99.8456,199.8773
100.2195,199.4289
100.6355,200.4105
98.458,198.6929
99.2664,199.6897
99.7348,199.8424
99.0613,199.3246
100.0504,200.4489
100.3124,199.5686
98.139,199.0867
101.014,200.12
98.7082,198.8182
100.6844,200.4425
101.5545,201.1825
98.7855,199.6919
102.2327,201.2018
100.7395,200.0821
99.5402,199.5354
