"id","sekcja","urzadzenie","czas_pracy","awaria","kontrole_niezaliczone","usterki_rok","wydajnosc"
1,"A","filtr",19,1,4,4,92.7
2,"A","pompa",10.5,1,2,5,84
3,"A","pompa",31.7,1,1,0,115.3
4,"B","zraszacz",29.1,1,2,1,112.6
5,"A","zraszacz",5.2,1,1,2,101.1
6,"C","zraszacz",35.7,1,2,1,88.6
7,"C","filtr",15.2,1,4,1,104.1
8,"A","pompa",31.5,1,1,2,92.1
9,"C","zraszacz",7.3,1,1,1,104.8
10,"B","zraszacz",4.1,1,3,4,106.9
11,"B","zraszacz",15.8,1,1,1,101.5
12,"C","zraszacz",4.9,1,2,3,99.4
13,"C","zraszacz",11.1,1,2,2,108.6
14,"A","pompa",17,1,5,3,108.6
15,"B","zraszacz",4.3,1,2,2,103.4
16,"A","pompa",19,1,3,2,99
17,"B","zraszacz",10.6,1,1,0,107.5
18,"B","filtr",36,0,3,3,101.6
19,"B","pompa",13.8,1,2,3,111.6
20,"B","zraszacz",36,0,1,4,89.7
21,"B","zraszacz",29.8,1,2,3,99.3
22,"A","zraszacz",33.2,1,1,6,108.8
23,"A","zraszacz",11.5,1,1,3,94.5
24,"A","zraszacz",5.3,1,1,1,86.2
25,"C","zraszacz",25.3,1,2,2,104.5
26,"C","zraszacz",17.8,1,0,1,95.2
27,"C","filtr",1.4,1,4,4,96.1
28,"B","pompa",12.4,1,1,2,106.2
29,"A","filtr",14.2,1,3,1,116.9
30,"B","zraszacz",31.2,1,1,1,100.4
31,"B","zraszacz",32.1,1,1,1,107.6
32,"A","filtr",18.2,1,1,0,83
33,"A","filtr",3.3,1,2,3,100.7
34,"A","pompa",9.7,1,3,1,86.1
35,"A","filtr",26.1,1,1,3,86.4
36,"A","filtr",36,0,3,1,111.3
37,"A","pompa",36,0,1,4,105.6
38,"A","pompa",13,1,1,3,104.6
39,"B","filtr",36,0,3,2,95.7
40,"A","zraszacz",9,1,1,1,89.7
41,"C","zraszacz",18.2,1,2,3,103.4
42,"C","zraszacz",36,0,0,1,91
43,"B","pompa",25.6,1,3,4,119.4
44,"B","zraszacz",22.3,1,0,2,100.6
45,"A","zraszacz",12.8,1,2,1,102.5
46,"A","pompa",36,0,0,1,87.4
47,"C","zraszacz",22.3,1,1,5,104.2
48,"A","zraszacz",36,0,1,2,109.1
49,"C","pompa",36,0,1,1,102.5
50,"A","filtr",20.6,1,3,2,100.4
51,"A","filtr",23.2,1,0,0,112.5
52,"C","pompa",10.5,1,1,2,105.8
53,"C","zraszacz",2.8,1,2,2,105.1
54,"A","pompa",19.2,1,3,3,108.5
55,"A","filtr",25.8,1,4,2,102.7
56,"C","zraszacz",13.2,1,1,0,125.1
57,"A","pompa",28.3,1,0,1,102.8
58,"C","zraszacz",31.7,1,1,4,108.6
59,"A","zraszacz",20.6,1,2,1,107.3
60,"B","pompa",28.3,1,2,1,105.7
61,"A","pompa",3.3,1,2,1,108.4
62,"C","pompa",23,1,0,3,102.8
63,"C","zraszacz",33.5,1,1,4,84.5
64,"A","zraszacz",36,0,2,2,93.6
65,"B","zraszacz",9.4,1,1,0,118.7
66,"A","zraszacz",21.6,1,0,2,115.4
67,"A","pompa",28.7,1,1,0,99.1
68,"C","pompa",27.5,1,0,3,79.9
69,"C","filtr",23.8,1,3,0,93.9
70,"B","pompa",24.2,1,2,1,88
71,"B","pompa",24.3,1,1,4,86.6
72,"A","zraszacz",9.6,1,2,1,107.6
73,"C","pompa",9.4,1,3,3,101
74,"C","pompa",24.6,1,2,1,111.5
75,"A","pompa",11.1,1,1,1,89.4
76,"A","pompa",25.9,1,1,0,92
77,"B","filtr",6.8,1,3,2,105.1
78,"A","pompa",20.3,1,0,3,109.3
79,"A","zraszacz",6.9,1,2,3,98.6
80,"C","zraszacz",23.1,1,3,0,92.3
81,"C","filtr",1.5,1,2,3,114.8
82,"A","pompa",29.1,1,2,2,113.5
83,"A","zraszacz",17.8,1,3,3,108.5
84,"A","filtr",27.5,1,1,1,106.5
85,"A","pompa",36,0,1,2,90.4
86,"A","filtr",32.6,1,1,1,83.8
87,"A","pompa",27.5,1,1,2,117
88,"B","pompa",14.1,1,0,2,102.4
89,"C","pompa",31.7,1,2,0,93.4
90,"B","pompa",16.8,1,5,4,112.2
91,"A","zraszacz",23.3,1,2,5,95.1
92,"C","zraszacz",36,0,4,4,96.3
93,"A","pompa",6.3,1,1,2,103.5
94,"A","pompa",17.9,1,2,1,88.8
95,"C","pompa",27.9,1,1,3,96
96,"B","zraszacz",11.7,1,2,2,91.5
97,"A","filtr",32.3,1,1,0,109.4
98,"B","zraszacz",20.2,1,1,2,102.6
99,"B","pompa",12.4,1,3,1,97.7
100,"A","zraszacz",11.6,1,2,0,110.6
101,"B","pompa",10.2,1,1,3,99.6
102,"A","filtr",7.8,1,3,1,98.3
103,"B","filtr",22.5,1,1,2,101.1
104,"A","pompa",7,1,2,1,94.8
105,"C","zraszacz",13.4,1,1,2,100.5
106,"C","pompa",36,0,2,4,107.4
107,"A","zraszacz",12.4,1,4,0,101.6
108,"A","filtr",21.2,1,2,1,113
109,"A","zraszacz",13.9,1,2,3,95.3
110,"A","zraszacz",34.1,1,2,4,97.5
111,"A","pompa",28,1,2,1,110.7
112,"A","pompa",17.9,1,0,1,90.3
113,"C","filtr",9.8,1,0,0,88.7
114,"A","zraszacz",23.1,1,2,4,105.2
115,"B","zraszacz",36,0,1,3,96.7
116,"A","filtr",24.8,1,2,1,92.2
117,"C","zraszacz",11.1,1,3,2,92.6
118,"B","pompa",5.8,1,1,1,106.3
119,"B","pompa",13.5,1,4,1,94.5
120,"A","pompa",36,0,3,3,99.7
121,"B","zraszacz",1.8,1,0,2,93.7
122,"C","pompa",9,1,4,3,103.5
123,"B","zraszacz",15.2,1,0,0,94.7
124,"A","pompa",18.2,1,2,4,103.6
125,"B","pompa",17.2,1,0,5,95.6
126,"A","filtr",21.2,1,3,0,114.9
127,"C","zraszacz",5.9,1,0,0,103.2
128,"B","filtr",6.4,1,3,3,85.1
129,"B","zraszacz",9.9,1,3,2,111
130,"A","pompa",16.1,1,2,1,99.4
131,"B","zraszacz",18.9,1,2,2,101.8
132,"B","pompa",11.3,1,2,2,111.1
133,"C","zraszacz",19.1,1,4,0,103.2
134,"A","pompa",15.3,1,2,0,120.5
135,"B","zraszacz",16.9,1,2,2,95.8
136,"A","zraszacz",11.2,1,2,0,102.8
137,"C","filtr",36,0,1,1,103.8
138,"A","zraszacz",25.5,1,4,3,106.3
139,"B","zraszacz",5.7,1,4,4,106.7
140,"B","zraszacz",5.5,1,2,2,104.4
141,"C","pompa",27.4,1,3,0,90.1
142,"C","zraszacz",4.8,1,1,1,96.7
143,"A","pompa",23.3,1,3,4,100.6
144,"A","filtr",12.2,1,2,1,96
145,"C","zraszacz",10.3,1,3,3,102.6
146,"C","zraszacz",34.7,1,0,3,93.6
147,"B","pompa",25,1,1,1,107.3
148,"B","filtr",36,0,0,4,101.7
149,"B","filtr",20.3,1,2,2,104.4
150,"B","zraszacz",13.3,1,2,4,98.2
