"pracownik","sekcja","staz","buty_antyposlizgowe","skorki_tydzien","poslizgniecie","ciezkosc","dni_zwolnienia"
1,"B",1.3,"tak",3,"nie","brak",0
2,"A",2.8,"nie",0,"nie","brak",0
3,"B",3.2,"tak",1,"nie","brak",0
4,"A",10,"tak",1,"nie","brak",0
5,"B",4.3,"nie",1,"nie","brak",0
6,"C",2.4,"tak",7,"nie","brak",0
7,"B",6.2,"nie",1,"nie","brak",0
8,"B",2.8,"tak",1,"nie","brak",0
9,"C",1.2,"tak",7,"nie","brak",0
10,"C",3.8,"nie",6,"tak","sredni",15
11,"C",2,"tak",4,"nie","brak",0
12,"C",14.9,"nie",5,"tak","ciezki",20
13,"B",2,"tak",1,"nie","brak",0
14,"C",2.5,"tak",4,"nie","brak",0
15,"A",2.9,"tak",1,"tak","sredni",7
16,"C",2.3,"tak",2,"nie","brak",0
17,"B",1.9,"tak",1,"nie","brak",0
18,"B",1.4,"tak",1,"nie","brak",0
19,"A",0.6,"nie",0,"nie","brak",0
20,"B",3.9,"tak",1,"nie","brak",0
21,"A",2.5,"tak",0,"nie","brak",0
22,"C",5.2,"nie",6,"nie","brak",0
23,"A",4.9,"nie",0,"nie","brak",0
24,"B",1.3,"nie",3,"nie","brak",0
25,"C",1.8,"tak",6,"nie","brak",0
26,"C",4.9,"tak",5,"nie","brak",0
27,"B",1.9,"tak",0,"nie","brak",0
28,"B",4.4,"nie",1,"nie","brak",0
29,"B",5.4,"tak",1,"nie","brak",0
30,"A",4.1,"tak",0,"nie","brak",0
31,"B",3.5,"tak",0,"nie","brak",0
32,"A",2,"tak",2,"nie","brak",0
33,"C",4.3,"tak",4,"nie","brak",0
34,"A",5,"nie",3,"tak","lekki",0
35,"A",5.8,"nie",1,"nie","brak",0
36,"C",7.9,"nie",3,"nie","brak",0
37,"C",1.4,"tak",6,"tak","lekki",1
38,"C",1.6,"nie",8,"nie","brak",0
39,"B",4.2,"tak",2,"nie","brak",0
40,"C",6,"tak",7,"nie","brak",0
41,"C",1.6,"tak",4,"nie","brak",0
42,"A",4.8,"tak",0,"nie","brak",0
43,"B",2.6,"tak",3,"nie","brak",0
44,"C",4.4,"tak",0,"nie","brak",0
45,"B",2.7,"tak",1,"nie","brak",0
46,"A",3.3,"tak",2,"nie","brak",0
47,"C",3.5,"tak",3,"nie","brak",0
48,"B",5.4,"tak",3,"nie","brak",0
49,"A",10.9,"nie",1,"nie","brak",0
50,"A",0.8,"tak",0,"nie","brak",0
51,"A",0.2,"tak",0,"nie","brak",0
52,"B",9,"nie",3,"nie","brak",0
53,"A",2.8,"tak",2,"nie","brak",0
54,"C",4.2,"nie",1,"nie","brak",0
55,"B",0.9,"nie",1,"nie","brak",0
56,"A",2.4,"tak",1,"nie","brak",0
57,"B",5.3,"tak",1,"nie","brak",0
58,"A",2.6,"tak",0,"nie","brak",0
59,"B",4.9,"tak",2,"nie","brak",0
60,"B",3.6,"tak",2,"nie","brak",0
61,"A",1,"nie",0,"nie","brak",0
62,"A",5.4,"tak",5,"nie","brak",0
63,"A",9.6,"tak",0,"nie","brak",0
64,"B",3.1,"nie",4,"nie","brak",0
65,"B",4.4,"tak",2,"nie","brak",0
66,"A",2.9,"nie",0,"nie","brak",0
67,"C",7.2,"nie",6,"tak","sredni",8
68,"B",4.1,"tak",1,"nie","brak",0
69,"B",1.8,"tak",5,"nie","brak",0
70,"B",0.4,"tak",1,"nie","brak",0
71,"B",3.3,"tak",0,"nie","brak",0
72,"C",3.8,"nie",5,"tak","lekki",0
73,"A",3.6,"nie",2,"nie","brak",0
74,"C",3,"nie",5,"tak","lekki",0
75,"A",3.4,"nie",0,"nie","brak",0
76,"B",8.4,"nie",1,"nie","brak",0
77,"A",6.8,"tak",0,"nie","brak",0
78,"C",3.9,"tak",5,"nie","brak",0
79,"C",1.6,"tak",6,"nie","brak",0
80,"A",3.6,"nie",1,"nie","brak",0
81,"B",2.5,"tak",1,"nie","brak",0
82,"C",6.8,"tak",5,"nie","brak",0
83,"B",3.4,"tak",1,"nie","brak",0
84,"A",3.1,"tak",1,"nie","brak",0
85,"A",1.9,"tak",0,"nie","brak",0
86,"C",5,"tak",3,"nie","brak",0
87,"B",1.9,"tak",3,"nie","brak",0
88,"A",5.5,"tak",1,"nie","brak",0
89,"C",0.9,"tak",4,"nie","brak",0
90,"A",6.1,"nie",1,"nie","brak",0
91,"A",5.7,"tak",1,"nie","brak",0
92,"B",2.4,"nie",1,"nie","brak",0
