"zielony","czerwony","nir1","nir2","ndvi","klasa"
84,99,104,81,0.025,"gleba szara"
76,99,104,81,0.025,"gleba szara"
80,112,118,88,0.026,"gleba szara"
80,107,113,85,0.027,"gleba szara"
76,95,100,78,0.026,"gleba szara wilgotna"
76,91,100,74,0.047,"gleba szara wilgotna"
68,83,87,67,0.024,"gleba szara wilgotna"
84,103,108,85,0.024,"gleba szara"
84,99,108,85,0.043,"gleba szara"
92,107,118,88,0.049,"gleba szara"
88,103,108,85,0.024,"gleba szara"
88,103,108,88,0.024,"gleba szara"
88,99,104,85,0.025,"gleba szara"
84,103,108,85,0.024,"gleba szara"
84,99,108,85,0.043,"gleba szara"
84,99,100,81,0.005,"gleba szara"
71,75,87,78,0.074,"roslinnosc na sciernisku"
60,54,87,74,0.234,"roslinnosc na sciernisku"
71,79,79,63,0,"gleba szara bardzo wilgotna"
56,51,67,63,0.136,"roslinnosc na sciernisku"
84,103,104,79,0.005,"gleba szara"
79,103,104,83,0.005,"gleba szara"
75,95,100,79,0.026,"gleba szara wilgotna"
75,87,96,71,0.049,"gleba szara wilgotna"
71,75,81,62,0.038,"gleba szara wilgotna"
88,107,113,87,0.027,"gleba szara"
88,103,109,87,0.028,"gleba szara"
84,103,113,87,0.046,"gleba szara"
88,111,118,92,0.031,"gleba szara"
93,107,113,87,0.027,"gleba szara"
93,107,109,87,0.009,"gleba szara"
88,107,109,92,0.009,"gleba szara"
93,103,109,87,0.028,"gleba szara"
88,107,113,87,0.027,"gleba szara"
79,99,100,79,0.005,"gleba szara"
88,95,100,79,0.026,"gleba szara"
88,103,109,83,0.028,"gleba szara"
84,103,104,83,0.005,"gleba szara"
84,99,104,83,0.025,"gleba szara"
75,87,93,71,0.033,"gleba szara bardzo wilgotna"
75,83,85,71,0.012,"gleba szara bardzo wilgotna"
67,72,81,67,0.059,"gleba szara bardzo wilgotna"
55,54,85,67,0.223,"roslinnosc na sciernisku"
74,87,92,70,0.028,"gleba szara wilgotna"
74,83,92,66,0.051,"gleba szara wilgotna"
63,67,104,85,0.216,"uprawa bawelny"
82,96,104,78,0.04,"gleba szara"
90,104,112,85,0.037,"gleba szara"
90,104,112,89,0.037,"gleba szara"
90,104,112,85,0.037,"gleba szara"
90,104,117,92,0.059,"gleba szara"
90,109,112,89,0.014,"gleba szara"
90,109,108,89,-0.005,"gleba szara"
86,104,104,85,0,"gleba szara"
82,96,100,81,0.02,"gleba szara"
86,96,104,81,0.04,"gleba szara"
59,60,73,63,0.098,"roslinnosc na sciernisku"
56,49,73,70,0.197,"roslinnosc na sciernisku"
92,103,110,86,0.033,"gleba szara"
92,108,114,86,0.027,"gleba szara"
83,103,105,83,0.01,"gleba szara"
79,99,105,83,0.029,"gleba szara"
79,91,93,72,0.011,"gleba szara wilgotna"
79,91,90,68,-0.006,"gleba szara wilgotna"
79,88,93,68,0.028,"gleba szara wilgotna"
75,88,93,72,0.028,"gleba szara wilgotna"
46,34,119,131,0.556,"uprawa bawelny"
87,103,105,86,0.01,"gleba szara"
87,95,105,83,0.05,"gleba szara"
87,108,110,90,0.009,"gleba szara"
87,103,114,86,0.051,"gleba szara"
87,103,105,86,0.01,"gleba szara"
83,99,101,79,0.01,"gleba szara"
83,95,105,83,0.05,"gleba szara"
83,95,101,79,0.031,"gleba szara"
83,103,105,83,0.01,"gleba szara"
87,103,105,83,0.01,"gleba szara"
79,88,97,72,0.049,"gleba szara bardzo wilgotna"
71,77,82,64,0.031,"gleba szara bardzo wilgotna"
71,81,82,68,0.006,"gleba szara bardzo wilgotna"
63,66,68,57,0.015,"gleba szara bardzo wilgotna"
59,57,75,64,0.136,"roslinnosc na sciernisku"
93,115,124,101,0.038,"gleba szara"
93,125,135,104,0.038,"gleba szara"
89,120,129,97,0.036,"gleba szara"
78,102,105,80,0.014,"gleba szara"
78,88,97,73,0.049,"gleba szara wilgotna"
82,92,93,73,0.005,"gleba szara wilgotna"
74,84,89,69,0.029,"gleba szara wilgotna"
67,75,93,80,0.107,"uprawa bawelny"
53,56,105,97,0.304,"uprawa bawelny"
74,92,101,76,0.047,"gleba szara"
85,102,110,83,0.038,"gleba szara"
93,111,110,94,-0.005,"gleba szara"
93,106,114,87,0.036,"gleba szara"
89,106,114,90,0.036,"gleba szara"
89,111,114,87,0.013,"gleba szara"
89,111,110,87,-0.005,"gleba szara"
89,106,114,90,0.036,"gleba szara"
89,102,114,90,0.056,"gleba szara"
89,97,105,83,0.04,"gleba szara"
85,102,101,83,-0.005,"gleba szara"
82,102,105,83,0.014,"gleba szara"
82,97,105,87,0.04,"gleba szara"
70,88,89,69,0.006,"gleba szara bardzo wilgotna"
74,79,85,69,0.037,"gleba szara bardzo wilgotna"
60,63,74,58,0.08,"gleba szara bardzo wilgotna"
88,125,136,109,0.042,"gleba szara"
88,125,125,102,0,"gleba szara"
80,98,102,79,0.02,"gleba szara"
80,98,98,79,0,"gleba szara"
80,98,102,76,0.02,"gleba szara"
50,40,125,128,0.515,"uprawa bawelny"
44,34,131,131,0.588,"uprawa bawelny"
47,31,131,139,0.617,"uprawa bawelny"
41,31,131,135,0.617,"uprawa bawelny"
64,73,106,83,0.184,"uprawa bawelny"
84,111,106,87,-0.023,"gleba szara"
88,106,106,83,0,"gleba szara"
84,102,106,83,0.019,"gleba szara"
88,111,111,87,0,"gleba szara"
92,106,111,87,0.023,"gleba szara"
88,106,111,87,0.023,"gleba szara"
88,111,115,87,0.018,"gleba szara"
88,106,111,87,0.023,"gleba szara"
92,115,120,94,0.021,"gleba szara"
84,106,111,87,0.023,"gleba szara"
88,106,115,87,0.041,"gleba szara"
92,106,111,87,0.023,"gleba szara"
84,102,115,91,0.06,"gleba szara"
88,111,120,94,0.039,"gleba szara"
88,106,111,87,0.023,"gleba szara"
76,85,86,72,0.006,"gleba szara bardzo wilgotna"
68,85,86,68,0.006,"gleba szara bardzo wilgotna"
72,81,82,68,0.006,"gleba szara bardzo wilgotna"
72,81,86,68,0.03,"gleba szara bardzo wilgotna"
88,126,139,103,0.049,"gleba szara"
80,99,100,74,0.005,"gleba szara"
76,91,96,70,0.027,"gleba szara wilgotna"
71,79,96,74,0.097,"uprawa bawelny"
53,45,113,114,0.43,"uprawa bawelny"
46,31,139,143,0.635,"uprawa bawelny"
43,31,133,139,0.622,"uprawa bawelny"
43,31,128,135,0.61,"uprawa bawelny"
43,31,128,135,0.61,"uprawa bawelny"
92,107,113,88,0.027,"gleba szara"
92,107,113,88,0.027,"gleba szara"
88,107,113,88,0.027,"gleba szara"
88,107,108,85,0.005,"gleba szara"
84,103,108,85,0.024,"gleba szara"
84,99,108,85,0.043,"gleba szara"
88,107,113,88,0.027,"gleba szara"
88,103,118,85,0.068,"gleba szara"
88,99,108,85,0.043,"gleba szara"
84,103,108,85,0.024,"gleba szara"
80,95,91,74,-0.022,"gleba szara bardzo wilgotna"
68,79,83,67,0.025,"gleba szara bardzo wilgotna"
71,75,87,67,0.074,"gleba szara bardzo wilgotna"
88,121,128,104,0.028,"gleba szara"
84,99,100,79,0.005,"gleba szara"
84,99,100,75,0.005,"gleba szara"
84,91,100,75,0.047,"gleba szara wilgotna"
44,34,128,129,0.58,"uprawa bawelny"
44,34,123,129,0.567,"uprawa bawelny"
41,32,139,150,0.626,"uprawa bawelny"
88,107,109,87,0.009,"gleba szara"
88,107,109,87,0.009,"gleba szara"
88,103,109,83,0.028,"gleba szara"
88,107,109,87,0.009,"gleba szara"
93,116,118,96,0.009,"gleba szara"
88,103,113,87,0.046,"gleba szara"
88,107,109,87,0.009,"gleba szara"
88,103,109,87,0.028,"gleba szara"
75,83,85,67,0.012,"gleba szara bardzo wilgotna"
75,83,85,67,0.012,"gleba szara bardzo wilgotna"
82,100,104,81,0.02,"gleba szara"
82,100,96,78,-0.02,"gleba szara"
43,32,127,133,0.597,"uprawa bawelny"
43,32,122,133,0.584,"uprawa bawelny"
46,29,138,151,0.653,"uprawa bawelny"
49,32,138,151,0.624,"uprawa bawelny"
46,29,138,147,0.653,"uprawa bawelny"
46,34,122,129,0.564,"uprawa bawelny"
86,104,108,85,0.019,"gleba szara"
90,109,112,89,0.014,"gleba szara"
90,109,112,89,0.014,"gleba szara"
86,109,108,89,-0.005,"gleba szara"
