x,y,ndvi
16.851,51.23935,0.618
16.853,51.23935,0.594
16.855,51.23935,0.59
16.857,51.23935,0.603
16.859,51.23935,0.583
16.861,51.23935,0.595
16.863,51.23935,0.575
16.865,51.23935,0.579
16.867,51.23935,0.521
16.869,51.23935,0.531
16.871,51.23935,0.518
16.873,51.23935,0.513
16.875,51.23935,0.487
16.877,51.23935,0.51
16.879,51.23935,0.477
16.881,51.23935,0.476
16.883,51.23935,0.493
16.885,51.23935,0.452
16.887,51.23935,0.503
16.889,51.23935,0.504
16.891,51.23935,0.537
16.893,51.23935,0.533
16.895,51.23935,0.538
16.897,51.23935,0.491
16.899,51.23935,0.528
16.901,51.23935,0.513
16.903,51.23935,0.595
16.905,51.23935,0.562
16.907,51.23935,0.555
16.909,51.23935,0.527
16.911,51.23935,0.549
16.913,51.23935,0.538
16.915,51.23935,0.545
16.917,51.23935,0.569
16.919,51.23935,0.57
16.921,51.23935,0.543
16.923,51.23935,0.51
16.925,51.23935,0.519
16.927,51.23935,0.498
16.929,51.23935,0.483
16.931,51.23935,0.464
16.933,51.23935,0.501
16.935,51.23935,0.477
16.937,51.23935,0.489
16.939,51.23935,0.447
16.941,51.23935,0.439
16.943,51.23935,0.424
16.945,51.23935,0.433
16.947,51.23935,0.423
16.949,51.23935,0.388
16.951,51.23935,0.375
16.953,51.23935,0.4
16.955,51.23935,0.328
16.957,51.23935,0.349
16.959,51.23935,0.317
16.961,51.23935,0.343
16.963,51.23935,0.352
16.965,51.23935,0.355
16.967,51.23935,0.362
16.969,51.23935,0.396
16.971,51.23935,0.359
16.973,51.23935,0.402
16.975,51.23935,0.424
16.977,51.23935,0.43
16.979,51.23935,0.42
16.981,51.23935,0.443
16.983,51.23935,0.492
16.985,51.23935,0.499
16.987,51.23935,0.425
16.989,51.23935,0.443
16.991,51.23935,0.455
16.993,51.23935,0.452
16.995,51.23935,0.458
16.997,51.23935,0.464
16.999,51.23935,0.472
17.001,51.23935,0.467
17.003,51.23935,0.474
17.005,51.23935,0.457
17.007,51.23935,0.51
17.009,51.23935,0.5
17.011,51.23935,0.497
17.013,51.23935,0.537
17.015,51.23935,0.504
17.017,51.23935,0.506
17.019,51.23935,0.552
17.021,51.23935,0.558
17.023,51.23935,0.537
17.025,51.23935,0.515
17.027,51.23935,0.549
17.029,51.23935,0.554
17.031,51.23935,0.56
17.033,51.23935,0.518
17.035,51.23935,0.518
17.037,51.23935,0.524
17.039,51.23935,0.479
17.041,51.23935,0.496
17.043,51.23935,0.516
17.045,51.23935,0.514
17.047,51.23935,0.502
17.049,51.23935,0.48
17.051,51.23935,0.496
17.053,51.23935,0.511
17.055,51.23935,0.47
17.057,51.23935,0.484
17.059,51.23935,0.485
17.061,51.23935,0.471
17.063,51.23935,0.51
17.065,51.23935,0.518
17.067,51.23935,0.526
17.069,51.23935,0.491
17.071,51.23935,0.484
17.073,51.23935,0.506
17.075,51.23935,0.483
17.077,51.23935,0.456
17.079,51.23935,0.492
17.081,51.23935,0.485
17.083,51.23935,0.448
17.085,51.23935,0.509
17.087,51.23935,0.461
17.089,51.23935,0.496
17.091,51.23935,0.518
17.093,51.23935,0.525
17.095,51.23935,0.523
17.097,51.23935,0.512
17.099,51.23935,0.506
17.101,51.23935,0.52
17.103,51.23935,0.516
17.105,51.23935,0.519
17.107,51.23935,0.528
17.109,51.23935,0.55
17.111,51.23935,0.515
17.113,51.23935,0.508
17.115,51.23935,0.504
17.117,51.23935,0.487
17.119,51.23935,0.452
17.121,51.23935,0.502
17.123,51.23935,0.458
17.125,51.23935,0.415
17.127,51.23935,0.457
17.129,51.23935,0.427
17.131,51.23935,0.352
17.133,51.23935,0.408
17.135,51.23935,0.371
17.137,51.23935,0.4
17.139,51.23935,0.408
17.141,51.23935,0.39
17.143,51.23935,0.374
17.145,51.23935,0.427
17.147,51.23935,0.431
17.149,51.23935,0.501
17.151,51.23935,0.529
17.153,51.23935,0.5
17.155,51.23935,0.565
17.157,51.23935,0.59
17.159,51.23935,0.6
17.161,51.23935,0.601
17.163,51.23935,0.674
17.165,51.23935,0.653
17.167,51.23935,0.683
17.169,51.23935,0.659
17.171,51.23935,0.646
17.173,51.23935,0.667
17.175,51.23935,0.657
17.177,51.23935,0.645
17.179,51.23935,0.625
17.181,51.23935,0.634
17.183,51.23935,0.614
17.185,51.23935,0.599
17.187,51.23935,0.642
17.189,51.23935,0.636
17.191,51.23935,0.607
17.193,51.23935,0.596
17.195,51.23935,0.609
17.197,51.23935,0.577
17.199,51.23935,0.594
17.201,51.23935,0.54
17.203,51.23935,0.545
17.205,51.23935,0.551
17.207,51.23935,0.544
17.209,51.23935,0.498
17.211,51.23935,0.514
17.213,51.23935,0.501
17.215,51.23935,0.514
17.217,51.23935,0.519
17.219,51.23935,0.51
17.221,51.23935,0.501
17.223,51.23935,0.519
17.225,51.23935,0.518
17.227,51.23935,0.516
17.229,51.23935,0.532
17.231,51.23935,0.544
17.233,51.23935,0.587
17.235,51.23935,0.553
17.237,51.23935,0.585
17.239,51.23935,0.586
17.241,51.23935,0.555
17.243,51.23935,0.582
17.245,51.23935,0.577
17.247,51.23935,0.627
17.249,51.23935,0.587
16.851,51.23805,0.593
16.853,51.23805,0.567
16.855,51.23805,0.615
16.857,51.23805,0.571
16.859,51.23805,0.571
16.861,51.23805,0.549
16.863,51.23805,0.56
16.865,51.23805,0.569
16.867,51.23805,0.524
16.869,51.23805,0.528
16.871,51.23805,0.552
16.873,51.23805,0.516
16.875,51.23805,0.51
16.877,51.23805,0.477
16.879,51.23805,0.491
16.881,51.23805,0.458
16.883,51.23805,0.498
16.885,51.23805,0.501
16.887,51.23805,0.463
16.889,51.23805,0.505
16.891,51.23805,0.486
16.893,51.23805,0.521
16.895,51.23805,0.521
16.897,51.23805,0.529
16.899,51.23805,0.546
16.901,51.23805,0.545
16.903,51.23805,0.558
16.905,51.23805,0.579
16.907,51.23805,0.554
16.909,51.23805,0.546
16.911,51.23805,0.531
16.913,51.23805,0.543
16.915,51.23805,0.576
16.917,51.23805,0.515
16.919,51.23805,0.528
16.921,51.23805,0.494
16.923,51.23805,0.535
16.925,51.23805,0.544
16.927,51.23805,0.5
16.929,51.23805,0.52
16.931,51.23805,0.488
16.933,51.23805,0.491
16.935,51.23805,0.475
16.937,51.23805,0.456
16.939,51.23805,0.449
16.941,51.23805,0.476
16.943,51.23805,0.464
16.945,51.23805,0.423
16.947,51.23805,0.389
16.949,51.23805,0.398
16.951,51.23805,0.39
16.953,51.23805,0.36
16.955,51.23805,0.369
16.957,51.23805,0.379
16.959,51.23805,0.38
16.961,51.23805,0.373
16.963,51.23805,0.334
16.965,51.23805,0.383
16.967,51.23805,0.346
16.969,51.23805,0.386
16.971,51.23805,0.355
16.973,51.23805,0.432
16.975,51.23805,0.358
16.977,51.23805,0.427
16.979,51.23805,0.446
16.981,51.23805,0.446
16.983,51.23805,0.44
16.985,51.23805,0.434
16.987,51.23805,0.461
16.989,51.23805,0.488
16.991,51.23805,0.431
16.993,51.23805,0.477
16.995,51.23805,0.485
16.997,51.23805,0.448
16.999,51.23805,0.452
17.001,51.23805,0.474
17.003,51.23805,0.473
