"nazwa","norad","konstelacja","inklinacja","ekscentrycznosc","obiegi_na_dobe","wysokosc_km","okres_min","typ_orbity"
"BEIDOU-2 G4 (C04)",37210,"BeiDou",3.81,0.0006763,1.0027,35793.6,1436.1,"GEO"
"BEIDOU-2 G5 (C05)",38091,"BeiDou",3.74,0.0006052,1.0027,35793.2,1436.1,"GEO"
"BEIDOU-2 G6 (C02)",38953,"BeiDou",4.59,0.0007812,1.0027,35793,1436.1,"GEO"
"BEIDOU-2 G7 (C03)",41586,"BeiDou",1.89,0.0005685,1.0027,35792.9,1436.1,"GEO"
"BEIDOU-2 G8 (C01)",44231,"BeiDou",1.83,0.0008987,1.0027,35794.6,1436.1,"GEO"
"BEIDOU-2 IGSO-1 (C06)",36828,"BeiDou",54.31,0.0058186,1.0025,35798.8,1436.4,"GEO"
"BEIDOU-2 IGSO-2 (C07)",37256,"BeiDou",47.42,0.0057892,1.0026,35796.8,1436.3,"GEO"
"BEIDOU-2 IGSO-3 (C08)",37384,"BeiDou",62.5,0.0036994,1.0025,35799,1436.4,"GEO"
"BEIDOU-2 IGSO-4 (C09)",37763,"BeiDou",54.6,0.0160425,1.0027,35793.7,1436.1,"GEO"
"BEIDOU-2 IGSO-6 (C13)",41434,"BeiDou",60.33,0.0060671,1.0029,35789.6,1435.9,"GEO"
"BEIDOU-2 IGSO-7 (C16)",43539,"BeiDou",55.21,0.0108098,1.0028,35790.6,1435.9,"GEO"
"BEIDOU-2 M3 (C11)",38250,"BeiDou",55.7,0.0022258,1.8623,21535.3,773.2,"MEO"
"BEIDOU-2 M4 (C12)",38251,"BeiDou",55.59,0.0013753,1.8623,21535.3,773.2,"MEO"
"BEIDOU-2 M6 (C14)",38775,"BeiDou",56.61,0.0011535,1.8623,21535.2,773.2,"MEO"
"BEIDOU-3 G1 (C59)",43683,"BeiDou",2.56,0.0006858,1.0027,35793.3,1436.1,"GEO"
"BEIDOU-3 G2 (C60)",45344,"BeiDou",2.54,0.0002308,1.0027,35793.4,1436.1,"GEO"
"BEIDOU-3 G3 (C61)",45807,"BeiDou",2.61,0.0002004,1.0027,35795,1436.2,"GEO"
"BEIDOU-3 G4 (C62)",56564,"BeiDou",0.44,0.0005561,1.0027,35795,1436.2,"GEO"
"BEIDOU-3 IGSO-1 (C38)",44204,"BeiDou",58.8,0.0027053,1.0027,35793.7,1436.1,"GEO"
"BEIDOU-3 IGSO-2 (C39)",44337,"BeiDou",55.25,0.0038881,1.0028,35791.3,1436,"GEO"
"BEIDOU-3 IGSO-3 (C40)",44709,"BeiDou",54.68,0.0046912,1.0027,35794.3,1436.1,"GEO"
"BEIDOU-3 M1 (C19)",43001,"BeiDou",56.76,0.0007445,1.8623,21535.1,773.2,"MEO"
"BEIDOU-3 M10 (C30)",43246,"BeiDou",54.13,0.0002742,1.8623,21535.3,773.2,"MEO"
"BEIDOU-3 M11 (C25)",43603,"BeiDou",54.18,0.0005044,1.8623,21535.6,773.2,"MEO"
"BEIDOU-3 M12 (C26)",43602,"BeiDou",54.18,0.0008462,1.8623,21535.5,773.2,"MEO"
"BEIDOU-3 M13 (C32)",43622,"BeiDou",56.69,0.0004665,1.8623,21535.2,773.2,"MEO"
"BEIDOU-3 M14 (C33)",43623,"BeiDou",56.69,0.0004311,1.8623,21535.2,773.2,"MEO"
"BEIDOU-3 M15 (C34)",43648,"BeiDou",54.02,0.0002733,1.8623,21535.5,773.2,"MEO"
"BEIDOU-3 M16 (C35)",43647,"BeiDou",54.02,0.0006082,1.8623,21535,773.2,"MEO"
"BEIDOU-3 M17 (C36)",43706,"BeiDou",54.17,0.0009134,1.8623,21535.4,773.2,"MEO"
"BEIDOU-3 M18 (C37)",43707,"BeiDou",54.17,0.0007637,1.8623,21535.6,773.3,"MEO"
"BEIDOU-3 M19 (C41)",44864,"BeiDou",56.62,0.0015886,1.8623,21535.1,773.2,"MEO"
"BEIDOU-3 M2 (C20)",43002,"BeiDou",56.75,0.0006949,1.8623,21535.2,773.2,"MEO"
"BEIDOU-3 M20 (C42)",44865,"BeiDou",56.62,0.0013191,1.8623,21535.1,773.2,"MEO"
"BEIDOU-3 M21 (C43)",44794,"BeiDou",53.84,0.0002887,1.8623,21535.5,773.2,"MEO"
"BEIDOU-3 M22 (C44)",44793,"BeiDou",53.87,0.0004986,1.8623,21535.5,773.2,"MEO"
"BEIDOU-3 M23 (C45)",44543,"BeiDou",54.39,0.0005978,1.8623,21535.5,773.2,"MEO"
"BEIDOU-3 M24 (C46)",44542,"BeiDou",54.4,0.0009063,1.8623,21535.3,773.2,"MEO"
"BEIDOU-3 M25 (C47)",61186,"BeiDou",54.41,0.000424,1.8623,21535.3,773.2,"MEO"
"BEIDOU-3 M26 (C48)",58655,"BeiDou",55.82,7.17e-05,1.8623,21535.3,773.2,"MEO"
"BEIDOU-3 M27 (C49)",61187,"BeiDou",54.4,6.9e-05,1.8623,21535.2,773.2,"MEO"
"BEIDOU-3 M28 (C50)",58654,"BeiDou",55.81,0.0001284,1.8623,21535.3,773.2,"MEO"
"BEIDOU-3 M3 (C21)",43208,"BeiDou",56.71,0.000589,1.8623,21535.1,773.2,"MEO"
"BEIDOU-3 M4 (C22)",43207,"BeiDou",56.71,0.0006393,1.8623,21535.1,773.2,"MEO"
"BEIDOU-3 M5 (C23)",43581,"BeiDou",54.09,0.000465,1.8623,21535.4,773.2,"MEO"
"BEIDOU-3 M6 (C24)",43582,"BeiDou",54.08,0.000602,1.8623,21535.5,773.2,"MEO"
"BEIDOU-3 M7 (C27)",43107,"BeiDou",54.26,0.0003612,1.8623,21535.4,773.2,"MEO"
"BEIDOU-3 M8 (C28)",43108,"BeiDou",54.26,0.0003911,1.8623,21535.2,773.2,"MEO"
"BEIDOU-3 M9 (C29)",43245,"BeiDou",54.13,0.0001581,1.8623,21535.4,773.2,"MEO"
"BEIDOU-3S IGSO-1S (C31)",40549,"BeiDou",49.06,0.0039122,1.0029,35787.4,1435.8,"GEO"
"BEIDOU-3S IGSO-2S (C56)",40938,"BeiDou",49.15,0.0066355,1.0025,35800,1436.4,"GEO"
"BEIDOU-3S M1S (C57)",40749,"BeiDou",54.8,0.0001768,1.8625,21532.8,773.1,"MEO"
"BEIDOU-3S M2S (C58)",40748,"BeiDou",54.81,0.0011009,1.8623,21535,773.2,"MEO"
"GSAT0101 (GALILEO-PFM)",37846,"Galileo",56.97,0.0001135,1.7048,23229.1,844.7,"MEO"
"GSAT0102 (GALILEO-FM2)",37847,"Galileo",56.97,0.0001729,1.7048,23229.1,844.7,"MEO"
"GSAT0103 (GALILEO-FM3)",38857,"Galileo",55.85,0.0002662,1.7047,23229.4,844.7,"MEO"
"GSAT0201 (GALILEO 5)",40128,"Galileo",48.8,0.1683716,1.8552,21606.5,776.2,"MEO"
"GSAT0202 (GALILEO 6)",40129,"Galileo",48.82,0.168531,1.8552,21606.4,776.2,"MEO"
"GSAT0203 (GALILEO 7)",40544,"Galileo",56.77,0.0003309,1.7048,23229.1,844.7,"MEO"
"GSAT0204 (GALILEO 8)",40545,"Galileo",56.77,0.0004271,1.7048,23229.1,844.7,"MEO"
"GSAT0206 (GALILEO 10)",40890,"Galileo",54.94,0.0002187,1.7047,23229.4,844.7,"MEO"
"GSAT0207 (GALILEO 15)",41859,"Galileo",55.54,0.0003414,1.7047,23229.3,844.7,"MEO"
"GSAT0208 (GALILEO 11)",41175,"Galileo",55.87,0.0003716,1.7047,23229.4,844.7,"MEO"
"GSAT0209 (GALILEO 12)",41174,"Galileo",55.87,0.0003942,1.7047,23229.3,844.7,"MEO"
"GSAT0210 (GALILEO 13)",41550,"Galileo",55.08,0.0004656,1.7047,23229.4,844.7,"MEO"
"GSAT0211 (GALILEO 14)",41549,"Galileo",55.08,0.0003724,1.7047,23229.4,844.7,"MEO"
"GSAT0212 (GALILEO 16)",41860,"Galileo",55.54,0.0004024,1.7047,23229.3,844.7,"MEO"
"GSAT0213 (GALILEO 17)",41861,"Galileo",55.54,0.0002988,1.7047,23229.3,844.7,"MEO"
"GSAT0214 (GALILEO 18)",41862,"Galileo",55.54,0.0002009,1.7047,23229.3,844.7,"MEO"
"GSAT0215 (GALILEO 19)",43055,"Galileo",55.06,0.0003598,1.7047,23229.3,844.7,"MEO"
"GSAT0216 (GALILEO 20)",43056,"Galileo",55.07,0.0004991,1.7047,23229.3,844.7,"MEO"
"GSAT0217 (GALILEO 21)",43057,"Galileo",55.06,0.0004258,1.7047,23229.3,844.7,"MEO"
"GSAT0218 (GALILEO 22)",43058,"Galileo",55.06,0.0005474,1.7047,23229.3,844.7,"MEO"
"GSAT0219 (GALILEO 23)",43566,"Galileo",57.15,0.0002427,1.7048,23229,844.7,"MEO"
"GSAT0220 (GALILEO 24)",43567,"Galileo",57.15,0.0003732,1.7048,23229,844.7,"MEO"
"GSAT0221 (GALILEO 25)",43564,"Galileo",57.14,0.0003631,1.7048,23229,844.7,"MEO"
"GSAT0222 (GALILEO 26)",43565,"Galileo",57.15,0.0004141,1.7048,23229.1,844.7,"MEO"
"GSAT0223 (GALILEO 27)",49809,"Galileo",57.13,0.0003657,1.7048,23229,844.7,"MEO"
"GSAT0224 (GALILEO 28)",49810,"Galileo",57.14,0.0002686,1.7048,23229,844.7,"MEO"
"GSAT0225 (GALILEO 29)",59598,"Galileo",55.16,9.64e-05,1.7047,23229.3,844.7,"MEO"
"GSAT0226 (GALILEO 31)",61183,"Galileo",55.17,0.0002828,1.7047,23229.3,844.7,"MEO"
"GSAT0227 (GALILEO 30)",59600,"Galileo",55.14,0.0003345,1.7047,23229.3,844.7,"MEO"
"GSAT0232 (GALILEO 32)",61182,"Galileo",55.17,0.0006061,1.7047,23229.3,844.7,"MEO"
"GSAT0233 (GALILEO 33)",67160,"Galileo",54.37,0.0001942,1.7047,23229.3,844.7,"MEO"
"GSAT0234 (GALILEO 34)",67162,"Galileo",54.37,0.000141,1.7047,23229.3,844.7,"MEO"
"COSMOS 2432 (719)",32276,"GLONASS",65.55,0.0008097,2.131,19136.9,675.7,"MEO"
"COSMOS 2433 (720)",32275,"GLONASS",65.53,0.0004941,2.131,19136.8,675.7,"MEO"
"COSMOS 2434 (721)",32393,"GLONASS",64.32,0.0001225,2.131,19137.1,675.7,"MEO"
"COSMOS 2436 (723)",32395,"GLONASS",64.33,0.0017366,2.131,19137.2,675.7,"MEO"
"COSMOS 2456 (730)",36111,"GLONASS",65.05,0.0002132,2.131,19136.9,675.7,"MEO"
"COSMOS 2457 (733)",36112,"GLONASS",65.04,0.0005543,2.131,19137.1,675.7,"MEO"
"COSMOS 2460 (732)",36402,"GLONASS",65.38,0.0002103,2.131,19137,675.7,"MEO"
"COSMOS 2475 (743)",37869,"GLONASS",65.32,0.0024398,2.131,19137,675.7,"MEO"
"COSMOS 2476 (744)",37867,"GLONASS",65.31,0.0022131,2.131,19136.9,675.7,"MEO"
"COSMOS 2477 (745)",37868,"GLONASS",65.32,0.001917,2.131,19136.9,675.7,"MEO"
"COSMOS 2485 (747)",39155,"GLONASS",65.46,0.0022761,2.131,19136.9,675.7,"MEO"
"COSMOS 2492 (754)",39620,"GLONASS",65.25,0.0011105,2.131,19136.9,675.7,"MEO"
"COSMOS 2500 (755)",40001,"GLONASS",65.19,0.0009238,2.1311,19136.7,675.7,"MEO"
"COSMOS 2501 (702K)",40315,"GLONASS",63.62,0.0022394,2.131,19137.1,675.7,"MEO"
"COSMOS 2514 (751)",41330,"GLONASS",64.98,0.0013417,2.131,19137,675.7,"MEO"
"COSMOS 2522 (752)",42939,"GLONASS",64.08,0.0010238,2.131,19137,675.7,"MEO"
"COSMOS 2527 (756)",43508,"GLONASS",65.62,0.0006767,2.131,19137,675.7,"MEO"
"COSMOS 2529 (757)",43687,"GLONASS",64.3,0.001123,2.131,19137,675.7,"MEO"
"COSMOS 2534 (758)",44299,"GLONASS",64.37,0.001261,2.131,19137,675.7,"MEO"
"COSMOS 2544 (759)",44850,"GLONASS",65.61,0.0011843,2.131,19136.9,675.7,"MEO"
"COSMOS 2545 (760)",45358,"GLONASS",64.31,0.0011206,2.131,19137,675.7,"MEO"
"COSMOS 2547 (705K)",46805,"GLONASS",64.6,0.0008957,2.131,19137.2,675.7,"MEO"
"COSMOS 2557 (706K)",52984,"GLONASS",64.25,0.0011862,2.131,19137,675.7,"MEO"
"COSMOS 2559 (707K)",54031,"GLONASS",64.23,0.0013487,2.131,19137,675.7,"MEO"
"COSMOS 2564 (761)",54377,"GLONASS",64.74,0.0011489,2.131,19137,675.7,"MEO"
"COSMOS 2569 (703K)",57517,"GLONASS",65.34,0.0008639,2.131,19137,675.7,"MEO"
"COSMOS 2584 (704K)",63130,"GLONASS",65.13,0.0006121,2.131,19136.9,675.7,"MEO"
"COSMOS 2596 (708K)",65590,"GLONASS",64.59,0.0012084,2.131,19137.1,675.7,"MEO"
"GPS BIIF-1  (PRN 25)",36585,"GPS",54.26,0.0128143,2.0057,20189.2,718,"MEO"
"GPS BIIF-10 (PRN 08)",40730,"GPS",53.93,0.0116405,2.0055,20190.3,718,"MEO"
"GPS BIIF-11 (PRN 10)",41019,"GPS",57,0.0114759,2.0057,20189,718,"MEO"
"GPS BIIF-12 (PRN 32)",41328,"GPS",55.57,0.0097077,2.0057,20188.5,717.9,"MEO"
"GPS BIIF-3  (PRN 24)",38833,"GPS",53.59,0.0184328,2.0056,20190,718,"MEO"
"GPS BIIF-4  (PRN 27)",39166,"GPS",54.45,0.0141813,2.0056,20189.4,718,"MEO"
"GPS BIIF-5  (PRN 30)",39533,"GPS",53.66,0.0083767,2.0056,20189.3,718,"MEO"
"GPS BIIF-6  (PRN 06)",39741,"GPS",56.46,0.0038776,2.0056,20190,718,"MEO"
"GPS BIIF-7  (PRN 09)",40105,"GPS",55.4,0.003586,2.0056,20189.4,718,"MEO"
"GPS BIIF-8  (PRN 03)",40294,"GPS",57.03,0.0067364,2.0056,20190,718,"MEO"
"GPS BIIF-9  (PRN 26)",40534,"GPS",53.16,0.0111825,2.0057,20188.6,717.9,"MEO"
"GPS BIII-1  (PRN 04)",43873,"GPS",55.73,0.0039669,2.0056,20189.3,718,"MEO"
"GPS BIII-10 (PRN 13)",68791,"GPS",54.96,0.0020814,2.0058,20188.2,717.9,"MEO"
"GPS BIII-2  (PRN 18)",44506,"GPS",55.6,0.0065213,2.0057,20188.7,717.9,"MEO"
"GPS BIII-3  (PRN 23)",45854,"GPS",56.71,0.0067247,2.0056,20189.9,718,"MEO"
"GPS BIII-4  (PRN 14)",46826,"GPS",53.97,0.0075658,2.0057,20189.2,718,"MEO"
"GPS BIII-5  (PRN 11)",48859,"GPS",55.14,0.0027922,2.0056,20189.2,718,"MEO"
"GPS BIII-6  (PRN 28)",55268,"GPS",55.13,0.0005894,2.0057,20189,718,"MEO"
"GPS BIII-7  (PRN 01)",62339,"GPS",54.81,0.0018676,2.0057,20188.5,717.9,"MEO"
"GPS BIII-8  (PRN 21)",64202,"GPS",55.28,0.0008638,2.0057,20188.7,718,"MEO"
"GPS BIII-9  (PRN 20)",67588,"GPS",55.13,0.0020833,2.0057,20188.8,718,"MEO"
"GPS BIIR-11 (PRN 19)",28190,"GPS",54.78,0.0118233,2.0055,20190.3,718,"MEO"
"GPS BIIR-13 (PRN 02)",28474,"GPS",55.09,0.017125,2.0056,20189.7,718,"MEO"
"GPS BIIR-5  (PRN 22)",26407,"GPS",54.84,0.01191,2.0056,20189.8,718,"MEO"
"GPS BIIR-8  (PRN 16)",27663,"GPS",54.87,0.0149518,2.0056,20189.9,718,"MEO"
"GPS BIIRM-1 (PRN 17)",28874,"GPS",54.83,0.0128671,2.0056,20189.6,718,"MEO"
"GPS BIIRM-2 (PRN 31)",29486,"GPS",54.71,0.0108301,2.0057,20189.1,718,"MEO"
"GPS BIIRM-3 (PRN 12)",29601,"GPS",54.93,0.008508,2.0056,20189.5,718,"MEO"
"GPS BIIRM-4 (PRN 15)",32260,"GPS",54.15,0.0168805,2.0055,20190.3,718,"MEO"
"GPS BIIRM-5 (PRN 29)",32384,"GPS",54.98,0.0036101,2.0056,20189.3,718,"MEO"
"GPS BIIRM-6 (PRN 07)",32711,"GPS",54.5,0.0211283,2.0055,20190.4,718,"MEO"
"GPS BIIRM-8 (PRN 05)",35752,"GPS",56.25,0.0052171,2.0058,20188.1,717.9,"MEO"
"IRIDIUM 100",42956,"Iridium NEXT",86.4,0.0002182,14.3422,784.8,100.4,"LEO"
"IRIDIUM 102",41920,"Iridium NEXT",86.39,0.0002143,14.3422,784.8,100.4,"LEO"
"IRIDIUM 103",41918,"Iridium NEXT",86.39,0.0002296,14.3422,784.8,100.4,"LEO"
"IRIDIUM 104",41922,"Iridium NEXT",86.39,0.0002169,14.3422,784.8,100.4,"LEO"
"IRIDIUM 105",41921,"Iridium NEXT",86.4,0.0001967,14.3422,784.8,100.4,"LEO"
"IRIDIUM 106",41917,"Iridium NEXT",86.39,0.0002331,14.3422,784.8,100.4,"LEO"
"IRIDIUM 107",42960,"Iridium NEXT",86.4,0.0002432,14.3422,784.8,100.4,"LEO"
"IRIDIUM 108",41924,"Iridium NEXT",86.4,0.0002077,14.3422,784.8,100.4,"LEO"
"IRIDIUM 109",41919,"Iridium NEXT",86.39,0.000219,14.3422,784.8,100.4,"LEO"
"IRIDIUM 110",43481,"Iridium NEXT",86.39,0.000206,14.3422,784.8,100.4,"LEO"
"IRIDIUM 111",41926,"Iridium NEXT",86.39,0.0002193,14.3422,784.8,100.4,"LEO"
"IRIDIUM 112",41925,"Iridium NEXT",86.39,0.0002132,14.3422,784.8,100.4,"LEO"
"IRIDIUM 113",42803,"Iridium NEXT",86.4,0.0002169,14.3422,784.8,100.4,"LEO"
"IRIDIUM 114",41923,"Iridium NEXT",86.39,0.0002211,14.3422,784.8,100.4,"LEO"
"IRIDIUM 115",42806,"Iridium NEXT",86.45,0.0002501,14.4328,754.8,99.8,"LEO"
"IRIDIUM 116",43072,"Iridium NEXT",86.39,0.000218,14.3422,784.8,100.4,"LEO"
"IRIDIUM 117",42808,"Iridium NEXT",86.4,0.000219,14.3422,784.8,100.4,"LEO"
"IRIDIUM 118",42807,"Iridium NEXT",86.4,0.0002108,14.3422,784.8,100.4,"LEO"
"IRIDIUM 119",42959,"Iridium NEXT",86.4,0.0002139,14.3422,784.8,100.4,"LEO"
"IRIDIUM 120",42805,"Iridium NEXT",86.39,0.0002159,14.3422,784.8,100.4,"LEO"
"IRIDIUM 121",42812,"Iridium NEXT",86.4,0.0002087,14.3422,784.8,100.4,"LEO"
"IRIDIUM 122",42957,"Iridium NEXT",86.4,0.0002252,14.3422,784.8,100.4,"LEO"
"IRIDIUM 123",42804,"Iridium NEXT",86.4,0.0002267,14.3422,784.8,100.4,"LEO"
"IRIDIUM 124",42810,"Iridium NEXT",86.44,0.0002426,14.4328,754.8,99.8,"LEO"
"IRIDIUM 125",42964,"Iridium NEXT",86.4,0.0002505,14.3422,784.8,100.4,"LEO"
"IRIDIUM 126",42809,"Iridium NEXT",86.4,0.0002222,14.3422,784.8,100.4,"LEO"
"IRIDIUM 128",42811,"Iridium NEXT",86.4,0.0002172,14.3422,784.8,100.4,"LEO"
"IRIDIUM 129",42958,"Iridium NEXT",86.4,0.00021,14.3422,784.8,100.4,"LEO"
"IRIDIUM 130",43073,"Iridium NEXT",86.4,0.000242,14.3422,784.8,100.4,"LEO"
"IRIDIUM 131",43079,"Iridium NEXT",86.4,0.0002214,14.3422,784.8,100.4,"LEO"
"IRIDIUM 132",42961,"Iridium NEXT",86.4,0.0002178,14.3422,784.8,100.4,"LEO"
"IRIDIUM 133",42955,"Iridium NEXT",86.4,0.0002184,14.3422,784.8,100.4,"LEO"
"IRIDIUM 134",43075,"Iridium NEXT",86.4,0.0002329,14.3422,784.8,100.4,"LEO"
