"stacja","miasto","kraj","lon","lat","temperatura","aod","ndvi_sredni"
"Lizbona-1","Lizbona","Portugalia",-9.041,38.586,14.9,0.188,0.495
"Lizbona-2","Lizbona","Portugalia",-9.112,38.539,15.3,0.187,0.529
"Lizbona-3","Lizbona","Portugalia",-9.32,38.913,15.9,0.151,0.498
"Madryt-1","Madryt","Hiszpania",-3.807,40.434,14.4,0.236,0.552
"Madryt-2","Madryt","Hiszpania",-3.672,40.522,14.4,0.146,0.646
"Madryt-3","Madryt","Hiszpania",-3.937,40.516,15.2,0.15,0.595
"Barcelona-1","Barcelona","Hiszpania",2.153,41.336,12.3,0.141,0.623
"Barcelona-2","Barcelona","Hiszpania",2.351,41.469,12.3,0.267,0.654
"Barcelona-3","Barcelona","Hiszpania",2.046,41.504,13.1,0.212,0.612
"Sewilla-1","Sewilla","Hiszpania",-5.94,37.201,16.1,0.231,0.578
"Sewilla-2","Sewilla","Hiszpania",-6.227,37.24,17.5,0.103,0.413
"Sewilla-3","Sewilla","Hiszpania",-5.884,37.392,14.4,0.181,0.465
"Porto-1","Porto","Portugalia",-8.744,41.324,12.1,0.243,0.639
"Porto-2","Porto","Portugalia",-8.436,40.995,14.4,0.256,0.615
"Porto-3","Porto","Portugalia",-8.783,41,12.9,0.085,0.635
"Paryz-1","Paryz","Francja",2.278,48.811,8.4,0.038,0.768
"Paryz-2","Paryz","Francja",2.373,48.684,9.6,0.087,0.63
"Paryz-3","Paryz","Francja",2.101,48.839,7.9,0.086,0.699
"Marsylia-1","Marsylia","Francja",5.279,43.291,11.1,0.214,0.792
"Marsylia-2","Marsylia","Francja",5.129,43.139,11.8,0.2,0.762
"Marsylia-3","Marsylia","Francja",5.291,43.421,11.4,0.265,0.648
"Lyon-1","Lyon","Francja",4.762,45.851,9.6,0.176,0.561
"Lyon-2","Lyon","Francja",4.706,45.758,11.7,0.15,0.665
"Lyon-3","Lyon","Francja",4.621,45.874,9.9,0.247,0.622
"Tuluza-1","Tuluza","Francja",1.396,43.489,12,0.215,0.556
"Tuluza-2","Tuluza","Francja",1.283,43.628,12,0.211,0.718
"Tuluza-3","Tuluza","Francja",1.395,43.752,9.3,0.229,0.672
"Londyn-1","Londyn","Wielka Brytania",-0.31,51.686,7.4,0.133,0.83
"Londyn-2","Londyn","Wielka Brytania",-0.377,51.707,8.9,0.161,0.664
"Londyn-3","Londyn","Wielka Brytania",-0.079,51.52,7.1,0.198,0.685
"Manchester-1","Manchester","Wielka Brytania",-2.034,53.29,5,0.039,0.765
"Manchester-2","Manchester","Wielka Brytania",-2.402,53.388,7.7,0.137,0.794
"Manchester-3","Manchester","Wielka Brytania",-2.124,53.652,6.1,0.092,0.71
"Edynburg-1","Edynburg","Wielka Brytania",-3.432,56.002,5.7,0.081,0.613
"Edynburg-2","Edynburg","Wielka Brytania",-3.147,55.877,4.8,0.088,0.785
"Edynburg-3","Edynburg","Wielka Brytania",-3.227,55.855,5.3,0.145,0.776
"Dublin-1","Dublin","Irlandia",-6.405,53.485,7.8,0.135,0.787
"Dublin-2","Dublin","Irlandia",-6.271,53.207,6.9,0.081,0.776
"Dublin-3","Dublin","Irlandia",-6.133,53.164,6.6,0.167,0.656
"Bruksela-1","Bruksela","Belgia",4.323,50.814,6.6,0.171,0.627
"Bruksela-2","Bruksela","Belgia",4.286,50.809,8.3,0.17,0.85
"Bruksela-3","Bruksela","Belgia",4.537,50.69,7,0.165,0.767
"Amsterdam-1","Amsterdam","Holandia",4.867,52.238,9.5,0.202,0.69
"Amsterdam-2","Amsterdam","Holandia",4.87,52.536,6.9,0.106,0.827
"Amsterdam-3","Amsterdam","Holandia",4.691,52.295,5.6,0.111,0.702
"Berlin-1","Berlin","Niemcy",13.167,52.442,8.7,0.177,0.709
"Berlin-2","Berlin","Niemcy",13.614,52.376,6,0.171,0.764
"Berlin-3","Berlin","Niemcy",13.297,52.541,4.4,0.195,0.652
"Monachium-1","Monachium","Niemcy",11.59,48.198,7.7,0.157,0.713
"Monachium-2","Monachium","Niemcy",11.448,48.017,9.2,0.188,0.678
"Monachium-3","Monachium","Niemcy",11.816,48.295,8.5,0.213,0.814
"Hamburg-1","Hamburg","Niemcy",10.056,53.602,6.4,0.1,0.741
"Hamburg-2","Hamburg","Niemcy",10.219,53.474,5.6,0.224,0.706
"Hamburg-3","Hamburg","Niemcy",10.183,53.735,3.3,0.099,0.799
"Kolonia-1","Kolonia","Niemcy",6.972,50.904,7.1,0.065,0.745
"Kolonia-2","Kolonia","Niemcy",7.068,51.039,9.7,0.14,0.735
"Kolonia-3","Kolonia","Niemcy",7.08,50.793,6.9,0.157,0.757
"Zurych-1","Zurych","Szwajcaria",8.313,47.558,8.7,0.126,0.698
"Zurych-2","Zurych","Szwajcaria",8.769,47.506,9.3,0.109,0.74
"Zurych-3","Zurych","Szwajcaria",8.391,47.4,11.7,0.127,0.791
"Wieden-1","Wieden","Austria",16.269,48.295,7.9,0.213,0.756
"Wieden-2","Wieden","Austria",16.568,48.069,10.2,0.053,0.839
"Wieden-3","Wieden","Austria",16.403,48.034,8.4,0.053,0.706
"Praga-1","Praga","Czechy",14.418,49.91,7.6,0.086,0.731
"Praga-2","Praga","Czechy",14.39,50.252,7.4,0.203,0.83
"Praga-3","Praga","Czechy",14.232,50.102,9,0.194,0.678
"Warszawa-1","Warszawa","Polska",21.075,52.078,7.5,0.1,0.656
"Warszawa-2","Warszawa","Polska",20.993,52.087,8.1,0.144,0.779
"Warszawa-3","Warszawa","Polska",21.046,52.089,8.1,0.173,0.716
"Krakow-1","Krakow","Polska",20.021,49.999,10.8,0.174,0.691
"Krakow-2","Krakow","Polska",20.129,49.888,8.2,0.177,0.694
"Krakow-3","Krakow","Polska",19.879,50.112,4.6,0.159,0.798
"Wroclaw-1","Wroclaw","Polska",17.142,50.957,6.7,0.163,0.707
"Wroclaw-2","Wroclaw","Polska",17.209,51.207,6.3,0.073,0.744
"Wroclaw-3","Wroclaw","Polska",16.873,51.056,7,0.252,0.7
"Gdansk-1","Gdansk","Polska",18.716,54.497,6.8,0.123,0.732
"Gdansk-2","Gdansk","Polska",18.759,54.431,4.6,0.157,0.667
"Gdansk-3","Gdansk","Polska",18.671,54.203,4.4,0.065,0.738
"Budapeszt-1","Budapeszt","Wegry",18.892,47.395,10.2,0.142,0.702
"Budapeszt-2","Budapeszt","Wegry",19.24,47.374,10.5,0.198,0.846
"Budapeszt-3","Budapeszt","Wegry",18.852,47.468,9.2,0.167,0.76
"Bukareszt-1","Bukareszt","Rumunia",26.326,44.311,11.9,0.186,0.567
"Bukareszt-2","Bukareszt","Rumunia",26.241,44.386,12,0.107,0.763
"Bukareszt-3","Bukareszt","Rumunia",26.331,44.429,11.8,0.197,0.677
"Sofia-1","Sofia","Bulgaria",23.127,42.852,11.5,0.153,0.651
"Sofia-2","Sofia","Bulgaria",23.559,42.789,13.3,0.096,0.719
"Sofia-3","Sofia","Bulgaria",23.38,42.896,9.3,0.21,0.663
"Belgrad-1","Belgrad","Serbia",20.674,44.619,12,0.172,0.84
"Belgrad-2","Belgrad","Serbia",20.311,44.647,11.7,0.135,0.655
"Belgrad-3","Belgrad","Serbia",20.318,44.947,13.7,0.184,0.715
"Zagrzeb-1","Zagrzeb","Chorwacja",16.191,45.999,10.7,0.073,0.743
"Zagrzeb-2","Zagrzeb","Chorwacja",16.091,45.826,10.6,0.271,0.759
"Zagrzeb-3","Zagrzeb","Chorwacja",16.111,46.003,12,0.048,0.765
"Rzym-1","Rzym","Wlochy",12.393,42.028,13.7,0.198,0.643
"Rzym-2","Rzym","Wlochy",12.422,41.937,12.8,0.171,0.532
"Rzym-3","Rzym","Wlochy",12.421,41.909,12.8,0.123,0.581
"Mediolan-1","Mediolan","Wlochy",9.334,45.586,10.8,0.184,0.711
"Mediolan-2","Mediolan","Wlochy",9.122,45.387,9.4,0.148,0.674
"Mediolan-3","Mediolan","Wlochy",9.273,45.276,12.4,0.245,0.72
"Neapol-1","Neapol","Wlochy",14.206,40.68,12.9,0.132,0.511
"Neapol-2","Neapol","Wlochy",14.081,40.922,13.1,0.253,0.623
"Neapol-3","Neapol","Wlochy",14.435,40.797,14.4,0.214,0.576
"Ateny-1","Ateny","Grecja",23.689,37.897,14.7,0.146,0.461
"Ateny-2","Ateny","Grecja",23.521,38.061,15,0.188,0.423
"Ateny-3","Ateny","Grecja",23.568,37.954,17.2,0.153,0.39
"Saloniki-1","Saloniki","Grecja",22.78,40.508,12.9,0.088,0.639
"Saloniki-2","Saloniki","Grecja",23.027,40.724,13.3,0.283,0.509
"Saloniki-3","Saloniki","Grecja",22.993,40.802,15.5,0.265,0.516
"Sztokholm-1","Sztokholm","Szwecja",17.95,59.47,1.9,0.119,0.512
"Sztokholm-2","Sztokholm","Szwecja",18.115,59.389,1.6,0.041,0.665
"Sztokholm-3","Sztokholm","Szwecja",18.024,59.323,2.7,0.138,0.552
"Goteborg-1","Goteborg","Szwecja",12.153,57.746,4.1,0.07,0.685
"Goteborg-2","Goteborg","Szwecja",11.774,57.908,2.4,0.148,0.551
